IdT,nom_territoire
1,Gautierdan
2,Lebrun-sur-Andre
3,Lelièvre
4,GomezVille
5,GérardVille
6,Coulon-sur-Mer
7,Saint AnastasieBourg
8,Valentin
9,Faure
10,Pineaunec
11,Saint AurélieVille
12,Saint Juliette
13,Louisnec
14,Sainte Charlotteboeuf
15,Dufour
16,Sainte Bernard-les-Bains
17,Cohen
18,Danielboeuf
19,Lévynec
20,Bonnin
21,Sainte NoëlVille
22,Laroche-la-Forêt
23,BoutinVille
24,Gaillardboeuf
25,Saint Alain
26,Alves
27,Larochenec
28,Maury
29,Saint Hélène-sur-Mer
30,Blondel-sur-Mer
31,Wagner
32,Launayboeuf
33,Bonnet-sur-Mer
34,Colasnec
35,Le Goff-sur-François
36,Besnard
37,Sainte DanielVille
38,Morvan-les-Bains
39,Jacquet-la-Forêt
40,Weber
41,Bodin-sur-Lecoq
42,Germain-les-Bains
43,Blanchet-les-Bains
44,Pons-la-Forêt
45,Hamon
46,Weissnec
47,Pons
48,MaillardBourg
49,Nguyen
50,Fontaine-la-Forêt
51,Regnier
52,Le Galldan
53,Lecomte
54,SeguinVille
55,Goncalves
56,Grégoire
57,Seguinnec
58,Étienne-sur-Albert
59,Albert-sur-Mer
60,Saint André
61,Sainte Alexandre
62,Weber
63,Pereira
64,Coste-sur-Thierry
65,Millet
66,Dupuis
67,Sainte GrégoireVille
68,Durand
69,Paul
70,Faure-les-Bains
71,Saint Marine-la-Forêt
72,Saint Sébastien
73,Rodrigues
74,Duboisboeuf
75,Saint Bernadette
76,Durandboeuf
77,Cohen-sur-Lebreton
78,Lopes
79,Valentin
80,Dijoux
81,Delannoydan
82,Gauthierdan
83,Sainte Dorothée-les-Bains
84,GuillonBourg
85,Rousset
86,Rémy
87,Saint Étienneboeuf
88,Adamboeuf
89,Collet
90,LeclercVille
91,Coste
92,Sainte Augustindan
93,Goncalves
94,Ferreira
95,Saint Martine-les-Bains
96,Dos Santosnec
97,Rolland
98,Techernec
99,Besnard-sur-Fouquet
100,Faivre-sur-Mer
101,Saint Camillenec
102,Dos Santos
103,Dijoux
104,Moreno
105,Fleury-la-Forêt
106,Barbe
107,Dos Santosdan
108,DelormeBourg
109,Sainte MarcelleBourg
110,Guilbert-sur-Perret
111,Meunierboeuf
112,Bourgeois
113,PottierBourg
114,Daniel
115,Vasseur-la-Forêt
116,Sainte Aiménec
117,Saint Auguste-la-Forêt
118,Hamel-sur-Lévy
119,Chauvet-sur-Mer
120,DumasVille
121,Leclerc
122,Saint Odette
123,Nguyen
124,Bourgeois
125,Durand
126,Saint Diane
127,Salmon-sur-Mercier
128,Sainte Jacques
129,Lecoq
130,Mace-sur-Vasseur
131,Martinez-sur-Chauvin
132,Martinnec
133,Imbert-les-Bains
134,Dufour
135,Wagnerboeuf
136,ChevallierBourg
137,CollinBourg
138,Garnier
139,Fabre
140,Weiss-sur-Carpentier
141,Sainte Laure-sur-Mer
142,Mathieu
143,Renaultdan
144,Sauvage
145,Cousin
146,Le Goff
147,Mahe
148,Caronboeuf
149,Sainte Sabine-les-Bains
150,Lambertnec
151,Leclerc
152,Thomas
153,Dubois
154,LaunayBourg
155,Chevalier-les-Bains
156,Sainte Margaret
157,Sainte Paulette
158,Gosselin
159,Roussel
160,Pires
161,Hamon
162,Ribeiro
163,Dubois
164,Benoit
165,Saint Andrénec
166,FournierBourg
167,Saint Bernadette
168,Normand
169,Leroy
170,Rousseaunec
171,Fouquet-sur-Allain
172,Saint Olivie-sur-Mer
173,Salmon
174,Gilletdan
175,Saint Jacqueline
176,Sanchez
177,Diallodan
178,Parent
179,Saint Inès
180,Brunel
181,Rossi-sur-Mer
182,Delahaye
183,Mendès
184,Sainte Stéphane
185,Saint Manon
186,DidierBourg
187,Grondin-sur-Berthelot
188,Hardy-sur-Petitjean
189,Jean
190,Duval
191,Courtois
192,Saint ÉmilieVille
193,Potier
194,Da Silva-sur-Fleury
195,Vincentdan
196,Lemaître
197,Saint Thérèse-sur-Mer
198,Sainte Suzannedan
199,Bonnet
200,Le GoffVille
201,Alexandre-sur-Mer
202,Traore
203,Germain
204,Munoz
205,Sainte Xavier-la-Forêt
206,Sainte Émiledan
207,Rodrigues-sur-Blondel
208,JacquotBourg
209,Laurent
210,Vidal
211,Saint Margot
212,Dumas-la-Forêt
213,RuizVille
214,Sainte SuzanneVille
215,DelaunayBourg
216,Lefort
217,Bourdon
218,Paris
219,Sainte NicoleBourg
220,Sainte Micheldan
221,Saint Augustinboeuf
222,François-sur-Bouvet
223,Carlier
224,HubertVille
225,TraoreVille
226,Thomas
227,Saint Margaud
228,Goncalves
229,Saint Michellenec
230,Sauvage
231,GilbertBourg
232,Reynaud
233,Ferreiranec
234,Rogerboeuf
235,Moreno-sur-Julien
236,Camus-les-Bains
237,Potier-sur-Mer
238,Albert-sur-Tanguy
239,Lemaître-sur-Le Goff
240,Texier-la-Forêt
241,Aubry-sur-Bonnin
242,Briand-sur-Lenoir
243,Saint Lorrainenec
244,LopezVille
245,Ferrand
246,Guilbert-la-Forêt
247,Giraud
248,Sainte Adrienne
249,Blanchet
250,Michel-sur-Mer
251,Sainte Hélèneboeuf
252,Lombard-sur-Mer
253,Saint Matthieu-les-Bains
254,Diaz
255,Pelletier-sur-Hoareau
256,Masson
257,Lefort
258,Gros
259,Denis-sur-Mer
260,Saint Bernard
261,Sainte PatriciaVille
262,Saint Chantal
263,Sainte Louise
264,Chevallier
265,Launay
266,Picard
267,Sainte Marcelle-sur-Mer
268,Saint Bernard
269,Becker-les-Bains
270,Marty
271,Perez-sur-Mer
272,Jean-la-Forêt
273,Maillet
274,Martel
275,Fauredan
276,Saint Frédérique-la-Forêt
277,Maillot-sur-Clerc
278,Sainte Geneviève-la-Forêt
279,Bernard-la-Forêt
280,Imbert
281,Menard-sur-Blot
282,Diallo-sur-Bertin
283,Martins
284,CamusBourg
285,Saint Véronique
286,Georges
287,SeguinVille
288,Coste
289,Garnier
290,Saint Manonnec
291,Saint GrégoireVille
292,Ledoux
293,Wagnerdan
294,Rey
295,Gomezdan
296,Legrand
297,Benarddan
298,Clerc
299,Baronboeuf
300,Traore
301,Saint Laetitia
302,Lecoqdan
303,Hoareau
304,Saint Anne
305,Saint Claudine
306,Saint Astrid
307,Saint Constance
308,Laurent
309,Robin-la-Forêt
310,Saint MargauxVille
311,Guibertnec
312,Saint Timothée
313,Lévynec
314,Sauvage-sur-Mer
315,Neveu-sur-Mer
316,Renard-sur-Tanguy
317,DelannoyVille
318,Mahe
319,Duval-sur-Perez
320,Lemaître-les-Bains
321,Perrot-sur-Guilbert
322,Bourdon
323,Barre
324,Martinezdan
325,Saint ConstanceVille
326,Durand-sur-Alves
327,Vincentnec
328,Olivier
329,Lombard
330,Saint Anne-sur-Mer
331,Vidal
332,Fouquet
333,Sainte Gillesboeuf
334,DupuisBourg
335,Blanchet
336,Valentindan
337,Sainte Dorothée
338,NeveuVille
339,Saint Bertrand
340,Sainte Benjamin
341,Legrand-sur-Torres
342,Nguyen-sur-Pons
343,Perretdan
344,Gillet
345,Baron-sur-Mer
346,Antoine
347,Renaultdan
348,Saint Stéphanie
349,Grenier-sur-Mer
350,Mercier-sur-Rémy
351,Bailly
352,Toussaint
353,Barre
354,François
355,Carre-les-Bains
356,Pascal
357,Saint Charlotte
358,LacombeBourg
359,Joly
360,Lesage-la-Forêt
361,Sainte Stéphane-les-Bains
362,Guilbert-sur-Besson
363,Vaillant
364,Auger
365,Fischer
366,Mendès-sur-Bazin
367,Sainte Bernard-la-Forêt
368,Brunet
369,BerthelotVille
