IdC,type_aliment,nom,allergene
1,Champignon,Truffe noire #709,"Arachides, Gluten"
2,Herbe,Thym sauvage #93,"Lactose, Œufs, Poisson"
3,Épice,Épices orientales #286,"Œufs, Sulfites"
4,Viande,Venaison #996,"Lactose, Lupin, Poisson"
5,Viande,Agneau rôti #90,"Lactose, Sulfites, Fruits à coque"
6,Produit laitier,Fromage affiné #32,Soja
7,Viande,Agneau rôti #163,"Sésame, Mollusques, Œufs"
8,Champignon,Truffe noire #937,"Céleri, Fruits à coque"
9,Épice,Safran #689,Gluten
10,Herbe,Romarin #734,"Œufs, Arachides, Poisson"
11,Légume,Navet confit #116,Aucun
12,Viande,Canard fumé #623,Gluten
13,Épice,Poivre long #599,"Arachides, Céleri"
14,Poisson,Carpe dorée #702,"Sulfites, Sésame, Arachides"
15,Viande,Canard fumé #518,Aucun
16,Céréale,Épeautre #157,"Poisson, Arachides, Crustacés"
17,Champignon,Truffe noire #894,"Sulfites, Poisson"
18,Épice,Épices orientales #608,"Crustacés, Gluten"
19,Viande,Agneau rôti #662,Aucun
20,Viande,Mouton braisé #544,"Lupin, Sésame"
21,Viande,Mouton braisé #807,"Gluten, Sulfites, Arachides"
22,Légumineuse,Lentilles du Puy #333,"Gluten, Poisson"
23,Fruit,Verjus #152,"Sésame, Moutarde"
24,Épice,Safran #47,"Poisson, Lupin, Arachides"
25,Épice,Poivre long #584,Aucun
26,Herbe,Romarin #795,"Poisson, Soja, Fruits à coque"
27,Poisson,Brochet en gelée #222,Aucun
28,Poisson,Carpe dorée #40,Aucun
29,Champignon,Truffe noire #329,Mollusques
30,Viande,Mouton braisé #585,Moutarde
31,Fruit,Pomme sauvage #293,"Arachides, Sésame, Poisson"
32,Champignon,Truffe noire #883,Lactose
33,Produit laitier,Fromage affiné #975,Sulfites
34,Fruit,Verjus #506,"Poisson, Crustacés"
35,Légume,Chou frisé #473,Sulfites
36,Légume,Chou frisé #681,"Lactose, Arachides, Fruits à coque"
37,Herbe,Romarin #84,"Arachides, Sulfites"
38,Viande,Agneau rôti #168,"Gluten, Sulfites"
39,Viande,Mouton braisé #141,"Gluten, Soja"
40,Herbe,Romarin #515,Sésame
41,Épice,Poivre long #564,"Sulfites, Moutarde, Mollusques"
42,Herbe,Thym sauvage #296,"Sulfites, Sésame"
43,Produit laitier,Fromage affiné #410,Soja
44,Viande,Agneau rôti #709,Aucun
45,Légume,Chou frisé #965,Aucun
46,Légume,Chou frisé #462,"Lupin, Arachides, Céleri"
47,Herbe,Thym sauvage #622,Fruits à coque
48,Poisson,Carpe dorée #617,"Céleri, Moutarde"
49,Légumineuse,Lentilles du Puy #24,Lactose
50,Légumineuse,Lentilles du Puy #921,Sulfites
51,Épice,Épices orientales #512,Lupin
52,Herbe,Thym sauvage #7,"Lactose, Céleri, Mollusques"
53,Viande,Venaison #225,Soja
54,Fruit,Verjus #133,Mollusques
55,Épice,Épices orientales #961,Aucun
56,Viande,Venaison #185,Aucun
57,Herbe,Romarin #229,"Arachides, Lupin, Mollusques"
58,Poisson,Carpe dorée #160,Lupin
59,Fruit,Pomme sauvage #755,Aucun
60,Viande,Venaison #717,"Céleri, Sésame, Fruits à coque"
61,Poisson,Brochet en gelée #829,"Soja, Moutarde, Arachides"
62,Herbe,Thym sauvage #902,"Arachides, Soja"
63,Viande,Agneau rôti #550,Crustacés
64,Poisson,Brochet en gelée #312,Céleri
65,Poisson,Brochet en gelée #696,"Poisson, Sulfites, Sésame"
66,Herbe,Romarin #243,"Soja, Lupin, Crustacés"
67,Fruit,Pomme sauvage #303,"Moutarde, Crustacés, Céleri"
68,Viande,Canard fumé #879,"Céleri, Fruits à coque, Œufs"
69,Épice,Safran #930,Aucun
70,Fruit,Verjus #589,"Moutarde, Céleri"
71,Poisson,Carpe dorée #808,"Sésame, Poisson, Œufs"
72,Épice,Safran #557,Gluten
73,Viande,Canard fumé #433,Sésame
74,Légume,Navet confit #415,"Sésame, Crustacés, Poisson"
75,Produit laitier,Fromage affiné #46,"Sulfites, Arachides, Moutarde"
76,Poisson,Carpe dorée #890,Moutarde
77,Légume,Navet confit #783,"Mollusques, Sésame"
78,Herbe,Thym sauvage #296,Aucun
79,Viande,Venaison #508,Œufs
80,Fruit,Pomme sauvage #860,Aucun
81,Produit laitier,Fromage affiné #762,Poisson
82,Champignon,Truffe noire #655,Aucun
83,Viande,Mouton braisé #380,Aucun
84,Viande,Agneau rôti #696,"Arachides, Fruits à coque, Mollusques"
85,Fruit,Pomme sauvage #622,Aucun
86,Herbe,Romarin #984,"Crustacés, Arachides, Moutarde"
87,Poisson,Brochet en gelée #136,"Crustacés, Mollusques"
88,Champignon,Truffe noire #555,Aucun
89,Fruit,Pomme sauvage #754,Aucun
90,Légumineuse,Lentilles du Puy #627,"Moutarde, Gluten, Sésame"
91,Viande,Mouton braisé #422,"Céleri, Soja, Poisson"
92,Viande,Mouton braisé #930,Œufs
93,Herbe,Romarin #168,Aucun
