IdG,IdR
1,830
2,1842
3,446
4,2169
5,4651
6,1402
7,2730
8,743
9,3873
10,1132
11,3084
12,4217
13,2019
14,1114
15,4133
16,2983
17,4189
18,4102
19,3255
20,2183
21,1956
22,2110
23,609
24,4948
25,3333
26,151
27,3859
28,380
29,4453
30,4106
31,2172
32,3935
33,2645
34,669
35,432
36,3663
37,4536
38,3519
39,770
40,4275
41,2153
42,2786
43,1825
44,1416
45,1706
46,660
47,1802
48,4004
49,2617
50,3021
51,1037
52,4043
53,2244
54,640
55,2783
56,2781
57,822
58,1994
59,3751
60,3221
61,4407
62,950
63,310
64,2643
65,3923
66,3847
67,4338
68,3529
69,2074
70,4374
71,4238
72,3220
73,1340
74,2763
75,2225
76,753
77,4465
78,3217
79,1961
80,2653
81,3737
82,5
83,4892
84,110
85,1967
86,4929
87,244
88,2474
89,3080
90,3723
91,4108
92,4736
93,3440
94,496
95,968
96,3478
97,1544
98,1228
99,275
100,4604
101,4599
102,1956
103,3612
104,1143
105,4125
106,4698
107,83
108,2438
109,2395
110,4391
111,2362
112,1153
113,4662
114,464
115,447
116,4752
117,2713
118,2680
119,4074
120,2591
121,315
122,787
123,3287
124,913
125,550
126,3241
127,2262
128,3430
129,4519
130,368
131,603
132,4268
133,997
134,648
135,578
136,997
137,4744
138,535
139,1692
140,2198
141,4723
142,1042
143,285
144,1603
145,2055
146,4145
147,968
148,4734
149,428
150,3036
151,3221
152,3643
153,4235
154,1459
155,4747
156,1012
157,1243
158,1555
159,319
160,784
161,2915
162,199
163,2923
164,1884
165,4481
166,2730
167,452
168,748
169,3310
170,56
171,3420
172,840
173,2587
174,1872
175,1158
176,1822
177,763
178,4297
179,2913
180,1957
181,1055
182,3491
183,57
184,4498
185,1344
186,2767
187,1150
188,2221
189,2044
190,4222
191,3085
192,3368
193,1547
194,203
195,3772
196,1256
197,1075
198,2407
199,4692
200,890
201,1596
202,466
203,1903
204,3273
205,267
206,4025
207,3785
208,2793
209,4624
210,503
211,1417
212,2494
213,4196
214,2830
215,2912
216,2147
217,3307
218,1808
219,3424
220,4650
221,1064
222,2958
223,1782
224,4733
225,787
226,3326
227,4030
228,2375
229,1913
230,1808
231,2191
232,2810
233,4260
234,2196
235,3445
236,1087
237,145
238,3733
239,3982
240,2362
241,1483
242,3281
243,2335
244,2152
245,3782
246,947
247,4814
248,1324
249,2564
250,4819
251,3019
252,2254
253,2564
