IdM,IdMo
3722,2448
4845,2404
3530,2220
136,1423
4396,286
2373,1155
2240,4816
2680,3508
4246,799
1349,2908
1041,1659
2993,1526
1908,3921
3173,3870
4515,4594
3990,1450
3960,263
4822,2706
87,317
2560,3878
3268,2815
4473,3443
3344,1858
3093,1240
2361,2884
2215,3763
2523,1027
640,1726
1363,2929
367,2705
3026,4528
3705,1017
1234,101
3585,606
4351,2444
859,4469
2672,411
1126,1273
3746,4011
2616,205
866,4956
891,1996
2629,3197
3150,1345
4660,1619
2420,4878
762,1735
3065,1279
382,2185
1965,3394
1970,2504
3392,2050
1860,4759
667,4349
4927,1703
4541,1721
511,3640
1820,923
4594,2262
1756,1024
4742,3754
1508,3468
542,2343
1522,4257
446,991
1270,3029
714,929
298,4334
3228,2933
1444,694
73,1979
1397,3927
447,3369
206,1689
2171,3365
1562,6
4635,2324
4563,1695
649,1433
680,4905
4469,4430
1598,1049
116,2078
957,315
38,3539
3882,2456
802,284
4925,397
3249,1540
3587,2369
1380,1534
3293,4312
2535,1731
4900,1425
480,3676
2969,2702
2610,290
109,552
2575,1805
3954,4200
3143,4281
4872,311
3467,374
2388,4705
4295,279
4394,1624
4810,3190
2317,4743
1410,3666
964,1889
1576,4893
4906,845
4210,1825
4498,3245
1330,1159
4808,4851
621,4285
1794,618
3821,345
2308,2151
4971,289
449,3936
2282,1956
2530,4410
1582,4678
4736,2141
18,172
1689,2136
1724,3486
3280,2637
3264,4634
3677,276
4809,2361
4889,1330
3790,771
2314,70
1130,1990
3303,3170
2791,2933
4758,4444
3297,13
3910,4842
2863,716
822,3052
2138,3600
740,3656
299,4561
4012,4933
2594,3356
1754,3787
4111,3368
4760,139
4138,3980
4035,997
1006,1745
1130,2423
1876,1340
609,400
923,1576
2202,695
2550,2802
3916,850
369,4419
3090,1895
3091,3887
4520,2515
2846,2626
4117,3641
2502,2029
1690,2590
4555,533
3266,3415
2390,2886
981,3516
926,757
4055,4428
4767,319
1062,2652
2094,4265
2067,1474
2042,840
2600,1236
4468,3302
611,2110
2952,2614
3922,3339
2023,1236
3636,137
4028,4140
2341,879
1940,439
2768,2167
666,676
206,745
1551,438
974,2769
3735,732
2359,3372
2279,772
3137,2011
328,1758
2918,3727
2288,1818
2424,1359
683,2113
4783,2507
2815,4001
222,418
1033,4647
2742,3135
12,1598
4591,3997
674,3164
1041,4938
2016,854
1860,262
2220,3920
4979,861
4045,2188
1506,659
2975,3659
4700,2622
2775,4834
3570,4542
4952,2447
4537,3559
4292,1747
3113,2590
3336,4666
2719,1843
1774,3421
4082,1648
3769,303
1498,3089
3893,1147
4180,2335
4143,2840
3114,4408
4166,1539
2054,4927
3158,4877
3271,1446
2151,700
1958,1722
1630,4782
4703,2891
4413,2676
3096,1075
2375,4434
749,1827
384,2780
4597,3588
2235,650
4129,1075
3630,610
1011,200
3931,4368
3731,2404
244,845
2622,3240
3643,3449
2856,3959
2435,4713
4805,438
2784,3776
3372,4461
2128,3806
244,4386
3654,1556
3176,4912
4642,143
2071,1397
2939,131
1347,3252
1825,1324
4008,4488
508,1083
294,4420
4222,295
3852,2569
1682,4151
4397,584
3549,3724
4107,275
4202,1680
4523,3789
4958,3497
767,4439
4316,3387
4030,672
1976,4683
2670,1187
3654,816
235,3118
1824,4428
1288,4674
4163,1490
187,901
1377,1867
2340,1095
1912,3356
4701,1918
3244,2839
4555,2755
3356,135
587,3683
2406,2022
1133,1712
681,3270
1034,4630
4360,4414
1637,3190
1141,4418
1456,1364
2456,3488
1995,4103
2222,4608
604,3456
2116,3738
2739,4761
474,2926
1438,4161
2465,2258
1677,3992
1832,4877
4256,3881
1284,1782
4251,761
2879,4234
3283,2423
2823,4346
3730,3717
2492,4456
3871,1638
3815,2209
3543,3488
1978,1543
3600,4117
990,3267
1493,2277
4706,428
4905,3909
1913,2588
3986,3690
1592,2641
2670,268
2696,124
2083,3430
3703,1655
2629,4596
338,3573
2204,3166
4383,3495
4993,159
4815,2645
673,3381
1844,2408
2700,1635
1221,2088
4539,4843
1473,1282
4334,2760
4394,3048
2280,1600
3789,2081
611,2149
2257,3588
2867,332
4696,3035
4725,2029
380,3560
2825,2832
1813,3405
4019,665
3848,4207
4614,703
236,2717
520,2795
3665,395
1222,2568
768,4181
415,4167
3235,4846
2771,2348
4061,1762
453,494
4856,1060
3501,814
2859,1725
4081,3815
1998,372
1130,1854
2593,1280
4777,2121
4177,3366
1486,3971
3156,3693
4185,1712
5000,2864
3579,460
4593,4027
3876,1241
2355,44
2282,2942
1793,3320
2341,211
3217,2496
2733,1418
3257,3994
3648,172
728,1403
2568,2929
742,4990
4521,1364
1411,1272
897,4440
4312,4649
4657,4640
792,1805
819,1945
698,4502
2981,2959
3649,1434
1599,2435
588,1722
4418,3484
932,1753
917,31
