CodeMembre,IdR
14029,830
79837,1393
57172,385
37619,3953
95911,3531
90050,2621
52751,2340
61721,4420
17346,4725
84999,2944
99881,1346
13613,839
45515,4952
83700,1299
64831,2608
74203,2504
94528,3
56801,2402
72748,3617
3179,887
52547,2513
86813,1564
37090,1632
26213,1685
92065,4114
97380,938
31776,1777
97953,3228
58626,4394
59861,3599
65381,2950
22370,189
63640,4928
60432,4380
34397,1597
7986,3461
16674,736
20565,1661
9325,4038
83778,2288
40653,2130
46149,3789
22918,2471
95543,203
1824,3046
96622,3432
52917,709
59472,1762
63784,4405
93943,3655
32156,4624
59902,1676
56773,3742
82608,2427
91430,276
40327,3163
9433,4387
63290,3696
69475,833
1820,4221
60615,3979
19190,2590
35938,3130
3156,2372
510,29
24292,972
60208,801
42826,799
43254,4462
34443,2559
59497,1442
46268,693
95091,2189
85306,2866
11075,2078
88658,2763
91553,1093
30359,1893
403,871
16049,1743
82231,2970
91924,483
27464,3029
49185,4172
68762,4627
34570,2909
67691,1346
38837,2929
42985,3215
22538,1297
60159,4776
52239,4541
67761,3633
63786,2802
78977,3198
22485,435
27417,2479
17616,4839
4901,3324
45815,366
25646,2615
21447,1977
50983,1003
99195,2243
38936,4095
6611,3840
11190,3481
81588,2949
87075,3236
84355,4497
18316,108
66770,2586
4454,3148
77860,4692
31647,666
77385,207
33768,3563
55840,2334
57971,672
15125,3648
41269,4114
82693,501
65563,307
19060,1630
22563,4923
10500,4431
47246,2905
48906,3230
6565,868
21999,1174
12581,4830
19088,1828
50530,3935
9017,509
91640,2081
46534,3619
86700,483
35582,1023
21306,3513
29618,3480
95068,3651
59112,2878
19572,1961
61974,1419
11116,4277
77488,693
9855,3638
61191,716
32614,4323
4058,2701
17297,3990
20035,4925
2071,2202
83264,4515
53826,1577
97961,4965
87412,3593
37676,1038
33296,4618
97138,3413
29935,1845
71431,3888
84213,1446
55501,496
14362,2773
72141,487
85891,184
88884,3948
27513,2349
71523,2333
16478,37
1954,289
82709,2321
98827,251
69479,4664
22992,2170
97395,3480
85583,2389
3487,2198
89708,4207
96090,3352
18705,4230
21609,1963
9950,4355
96750,589
93950,468
62344,3172
52283,3727
49402,166
64673,2140
14986,3253
45429,2735
18101,2280
98080,3295
17945,3962
9575,2050
27675,3326
6713,2482
80009,2929
35636,1654
92108,3755
66947,2823
53728,725
59812,2996
94667,22
61373,4486
71989,260
48700,404
14029,926
84204,1091
87818,595
51945,3230
44893,3761
89465,1326
27554,218
96369,3673
5629,2449
92200,2259
36554,807
3660,1945
28371,4686
40471,1309
81196,1093
67645,4333
1440,4413
40713,1656
72240,2758
334,86
80023,2689
11404,828
68344,2440
56802,2813
33129,2215
99703,4154
35104,4140
13189,1178
49057,2851
72798,2591
22467,1908
37016,3740
24265,891
4109,3732
95501,3266
96999,4860
91674,1939
34436,454
30561,766
66981,932
13197,1509
63752,3819
4739,2400
60297,4689
3856,4722
62280,984
51194,150
88835,2794
80840,4464
22707,4580
14034,4546
49603,4238
75156,4992
70861,3672
9726,1586
44338,1558
29794,390
44605,4361
98514,896
42034,1321
61548,1016
56064,2302
59729,428
18253,4331
38777,4545
17881,2237
1061,2355
28556,4576
88618,872
68097,3064
70905,3732
24352,3650
30598,3563
72632,2900
42076,1419
50645,3733
52075,4547
78999,2127
21853,1260
95514,150
26992,1792
10534,3963
92275,3812
27313,810
52900,1246
39463,1010
5202,2897
57752,4947
56901,20
39514,3003
34614,2016
97566,854
18191,2311
1680,597
31896,3916
25960,3924
44278,355
49528,4180
30280,2452
75576,4211
29003,3528
12472,1347
68520,2755
73866,3425
9776,3377
47262,498
15217,2798
12876,11
9884,3966
30765,3684
57378,1805
55197,3005
47381,3633
94098,1839
65456,1481
62967,3826
80492,3657
42788,3166
27279,1781
12429,1665
64391,2693
79407,3942
23845,1857
38473,1853
40508,1242
79184,4175
19340,713
81188,711
67098,3479
2986,2264
75302,4884
82399,2282
79563,4387
7594,28
38637,2426
3667,4804
22696,2477
3142,199
61611,2574
44429,2790
19052,4956
84160,1270
65098,4935
96884,203
85366,570
78754,3124
40986,3300
99347,959
16223,1778
60031,2063
64000,3962
19127,1519
89003,1156
92811,3530
36547,3972
11044,2259
15644,2469
4759,3943
18932,611
2175,1189
33543,545
39253,3876
53238,1664
89213,3574
64287,1581
91430,655
70895,4644
77204,4272
57599,3851
14485,1611
72380,4339
51664,3894
84711,2532
10623,2191
65332,2208
82116,4282
47015,2940
92622,1822
33422,2639
78706,1652
23217,309
81065,3024
28938,2999
41834,3678
8866,3822
1435,3101
47970,1092
24107,1974
92979,3594
12556,1850
7676,3232
67873,4603
96677,1038
71021,1523
62311,771
10697,2487
92319,2505
37360,3467
50200,1561
16687,2871
39786,3499
70280,2852
99485,158
71569,948
62574,1865
85754,2894
1220,2743
49696,1663
74184,1664
33704,1198
12956,4263
17524,941
86871,160
41704,1698
92913,4707
35295,4066
98844,4531
29828,1633
17540,4832
4054,825
92605,4536
32973,4506
36943,1461
68664,2933
66574,1081
76631,4677
36156,4567
96702,3326
90875,3177
61545,4026
26733,2700
89015,4005
8034,1624
4778,4373
3195,4696
82457,2812
66846,2085
61907,1741
9140,1992
50179,3919
4194,823
12077,1000
63354,4779
36527,3334
79984,3814
93548,3909
79900,1437
77531,3331
66735,304
70608,2842
10056,2404
95332,3517
91627,3061
99029,4698
93758,3337
77717,2327
94230,2724
85686,4648
96804,1373
59358,2106
192,20
63645,4948
13041,1915
71125,2544
63771,2005
25697,272
88687,1334
9448,1477
32428,2410
68622,1348
64036,3184
48049,3785
44932,3705
33832,282
64704,2950
62586,359
79498,4817
75884,3048
83074,4751
68977,578
48622,2107
38170,2345
16166,1431
23003,1329
96110,1082
36388,53
47345,2258
86567,1264
27377,1391
23971,3189
78570,3631
15362,4317
57186,4950
78892,4615
73077,2409
66999,201
20,153
29796,4424
7397,4839
48033,1131
3176,3237
52039,2151
27741,2631
75002,3362
71752,1219
15998,1200
30870,4450
2724,2385
56142,376
57122,442
15927,4959
48316,1233
34356,3594
27032,4614
3772,4659
10275,4952
28123,1194
52161,3553
25131,362
58935,3888
76599,4635
32357,213
88058,4773
40759,2061
94105,3085
25207,2731
32512,3297
7055,80
62720,3281
25691,3745
31072,116
33867,3747
74917,2675
61669,1974
72004,2485
19937,4754
10403,2410
82907,3571
25184,1079
4125,1073
77933,368
59644,3544
53990,2604
1413,368
28754,2329
6751,4910
11616,71
64920,3705
39041,4953
96441,3015
47874,4588
85848,3664
45558,997
18270,2249
70100,230
8581,4176
88842,689
99066,4347
60328,1708
54717,443
93989,1946
21487,3662
49055,1623
75420,1147
30058,1620
75102,577
64821,449
89181,1804
85560,1472
67578,2207
74229,3095
22131,1318
