IdR,IdP
175,1498
4096,2151
4914,1751
2234,1203
1404,4534
886,3424
2576,4113
1039,2915
715,388
1845,2002
3501,1892
4033,129
3067,1335
4705,1288
1946,3480
2107,3406
2395,2749
4488,4511
670,2091
4715,3124
4964,228
2830,3558
2337,3326
4002,1187
902,2874
3845,4498
4314,2666
4976,3316
4762,1327
1066,370
2776,3369
1087,2300
995,2067
4869,4215
1006,3249
1167,1503
4816,4983
679,4141
2773,1272
3968,1551
3463,2016
2024,2935
645,4992
1468,1008
818,4124
2351,4847
1084,837
3382,3
2836,1336
417,692
2340,1384
3717,1030
1342,2019
3719,1408
1118,3099
811,63
2843,4188
1504,2877
2005,1783
2627,2003
2831,956
1164,4578
2466,2995
3502,4663
1113,4651
1813,2772
4414,4025
498,597
4452,4019
4391,3771
2835,938
3469,772
1489,1164
1592,2378
4829,4026
3242,3848
2598,4488
1457,1987
2200,3880
221,1024
4909,3516
4572,344
1580,2644
4445,323
795,529
2737,3775
1581,1624
509,2009
2318,1965
2977,4822
2270,3156
3588,1317
3031,949
1276,384
682,1979
1422,221
1837,1578
200,3935
1139,3181
1474,1081
4407,4069
4662,1758
2712,1670
2053,646
4828,4154
4136,3314
1438,4325
976,291
2840,1000
1838,4547
4855,3895
3814,1856
1605,2372
1508,2058
4799,4672
4714,4522
4103,4396
3219,4953
3364,4659
3306,2907
311,1322
931,3245
981,3937
4898,3630
1866,3761
2883,3836
3141,4508
1599,710
2530,3557
1079,3032
1311,4778
2351,393
1844,2013
4875,1993
754,2385
4826,4293
3636,1063
3219,2248
3166,3185
2280,4556
1981,2358
700,492
437,2763
4324,724
3733,2115
3205,121
4014,1645
2970,1542
1959,710
4690,4553
3827,1028
4099,4166
1023,2672
2518,1591
207,2452
2649,3308
2070,2340
466,2384
3459,2644
3692,538
569,4254
687,2254
799,2588
3650,318
4424,4367
127,3983
610,1311
2201,296
3198,4741
1170,775
4569,4070
3884,4536
3866,1949
3714,2584
3574,4735
4207,2818
3625,783
2355,2195
3527,1529
1147,2584
4729,2593
441,2633
2259,249
4832,2292
3636,4889
2856,288
4738,2566
2711,3162
2965,456
1137,386
2452,2158
4348,29
319,2536
3019,3645
1180,1969
3425,3182
2220,4597
3670,1379
2083,1130
416,2438
3228,2354
2380,3041
2235,1546
2567,1130
26,3308
2041,4428
2223,3814
1324,2478
4578,2459
4230,3062
301,4584
1909,949
2429,719
3364,2842
4515,3169
4799,4967
518,2492
2263,69
4972,4211
1650,1437
3355,3554
561,722
4658,4225
508,4891
622,2400
4037,4885
4000,4333
4962,4320
1863,3710
3368,3961
2364,529
446,4881
1838,4688
4192,2468
3445,188
4434,4999
2380,2630
2466,2047
3441,3424
1344,3471
3307,2192
65,711
695,2636
601,3484
4534,3189
3565,3596
2914,3490
3932,1979
2076,360
3837,3568
1348,3393
3986,4637
3302,4384
3135,3248
3643,618
2615,4501
1301,181
1632,4116
1205,4743
1448,4139
4198,4461
4251,2820
3154,1405
4308,1991
3221,4071
2403,2482
2968,1263
3240,1159
2695,4389
3332,3593
1762,4135
46,1124
2848,196
3815,3604
3248,3113
4733,1394
1080,255
2068,1980
3386,2094
4655,3114
3025,260
606,377
3609,1422
554,2407
484,2172
930,4796
3671,2177
1617,3086
4852,2986
2876,4067
3606,3672
1470,1847
3782,197
1741,1399
1297,457
4599,4462
1398,4953
4172,1462
2264,2391
3823,3613
2425,4027
4719,542
377,3445
3899,2990
4940,4777
3865,2907
3211,921
843,4940
2000,2719
741,818
1182,144
1613,4142
1387,4759
1748,3233
4762,2389
2439,2385
3459,894
1365,669
2837,3965
4054,4538
957,2920
73,222
1863,3330
1303,1056
988,3160
2050,23
4934,953
4389,2392
2898,4655
146,4633
4415,1482
2648,1933
3554,1784
4387,3956
3472,252
1695,447
3698,1735
3415,3425
920,1279
1978,255
4911,1040
4677,986
424,83
1499,4097
380,2986
104,1039
1521,210
2230,2559
1888,511
1093,2644
1789,2985
4014,4514
951,2336
873,2048
1457,4022
623,1179
4436,3669
2030,4824
2439,2035
4154,3201
2962,1030
1505,796
952,2572
3653,723
3933,4092
4413,3022
3674,2823
3509,4521
366,1016
4930,4223
3509,4074
826,2334
1465,4677
4364,1910
2959,4524
1580,2200
4826,3205
3716,3121
4496,27
3401,3568
250,1191
1358,914
308,2548
1794,3834
2577,3214
1767,475
1133,4557
2860,848
4240,4889
4366,909
887,1858
4324,1545
1670,3283
1145,4721
3346,433
3091,3558
1718,4766
3157,71
1691,278
2623,4445
2050,3197
2003,964
3194,18
2425,2884
3618,1718
4633,975
2753,4237
1141,1423
4303,1681
3509,4209
1727,3045
4998,1979
4571,1692
3996,38
4292,2525
