IdO,nom_orga,type_orga,IdT
1,Hamon,Loge,354
2,Mallet Guillot et Fils,Ordre,2351
3,Valette Hubert S.A.,Ordre,3455
4,Bruneau SA,Guilde,1621
5,Le Goff,Guilde,826
6,Thierry Martins SARL,Club,969
7,Besson,Association,3787
8,Delattre,Cercle,2992
9,Albert SA,Association,1166
10,Letellier Diallo SA,Loge,4541
11,Leduc,Guilde,3955
12,Ramos,Loge,4280
13,Pasquier Meyer SA,Ordre,1554
14,Godard SARL,Cercle,3526
15,Fabre Noël SARL,Ordre,4982
16,Benard,Ordre,2729
17,Loiseau,Guilde,474
18,Leroy,Loge,4683
19,Noël,Association,1710
20,Lecomte,Guilde,2861
21,Breton SARL,Association,4875
22,Bigot Berthelot et Fils,Confrérie,3115
23,Maurice,Confrérie,2817
24,Garnier SA,Confrérie,2885
25,Joseph,Loge,3748
26,Vallée S.A.,Cercle,4363
27,Baudry,Guilde,3616
28,Gilles,Association,84
29,Mathieu Maillard SA,Guilde,4092
30,Perret,Loge,4311
31,Leroy,Loge,991
32,Schmitt Mallet SA,Confrérie,1
33,Raynaud SA,Loge,652
34,Traore Berger S.A.R.L.,Ordre,4280
35,Moreau,Cercle,698
36,Gilbert,Club,2424
37,Briand Muller et Fils,Cercle,979
38,Besson,Ordre,2188
39,Mendès,Association,2852
40,Maréchal,Confrérie,3606
41,Gomez Lecomte SA,Guilde,2486
42,De Oliveira S.A.S.,Fraternité,2259
43,Pereira,Cercle,3611
44,Joly,Fraternité,2005
45,Vasseur,Ordre,4447
46,Maréchal,Ordre,1535
47,Sauvage,Guilde,2153
48,Gomez,Cercle,4016
49,Bruneau,Loge,4669
50,Olivier,Association,1008
51,Gauthier Regnier S.A.S.,Loge,1428
52,Traore SA,Confrérie,2561
53,Meyer,Guilde,2000
54,Charles Moulin S.A.R.L.,Fraternité,2852
55,Jourdan,Cercle,1686
56,Leclerc Simon S.A.S.,Ordre,2364
57,Petitjean S.A.,Association,1571
58,Perret,Confrérie,2358
59,Caron,Association,2003
60,Delahaye et Fils,Loge,4336
61,Thibault Millet S.A.,Loge,817
62,Goncalves,Fraternité,2654
63,Blanc,Club,1577
64,Lopez,Cercle,4986
65,Blin SA,Loge,4092
66,Moulin,Ordre,1778
67,Pons SA,Ordre,3950
68,François Martin S.A.R.L.,Guilde,4715
69,Duval SARL,Loge,4905
70,Schneider,Cercle,391
71,Legendre,Ordre,481
72,Allard Brunel S.A.R.L.,Fraternité,1307
73,Klein,Association,427
74,Collet,Ordre,1105
75,Foucher Maillet S.A.R.L.,Association,3054
76,Lacroix,Fraternité,3563
77,Faure,Loge,2777
78,Lévy,Guilde,631
79,Descamps,Guilde,524
80,Lopes S.A.S.,Fraternité,178
81,Pires Hubert S.A.,Ordre,1964
82,Charpentier,Guilde,2401
83,Moreau,Loge,961
84,Gaudin Daniel S.A.R.L.,Cercle,676
85,Neveu Schneider SARL,Ordre,649
86,Couturier,Cercle,1229
87,Blanchard S.A.,Association,3198
