idS,idI
1121,959
1174,304
1244,1913
2037,250
902,176
106,2149
383,1331
1713,1148
948,827
1217,100
2337,2044
422,564
1037,142
792,356
563,1681
1268,623
981,2344
1966,779
1902,2168
989,1583
1388,954
1886,1239
1760,515
1626,1694
2071,40
10,1438
2013,401
713,1859
2002,1394
1094,1754
2213,2117
1564,473
1880,884
1836,1656
555,1780
575,752
373,1329
192,420
1977,1862
535,1082
427,1873
2317,2290
2472,286
549,2029
1100,1349
487,1451
767,1002
417,242
1438,1872
2336,1956
1884,796
2375,295
2128,351
2029,860
1546,683
1895,1870
262,1385
1871,1003
1554,687
1008,1998
371,1320
1505,47
48,538
1031,1427
835,2396
1676,1760
661,281
343,1165
230,2307
1329,1169
1462,974
2478,164
1914,1508
1300,377
2366,2348
1251,342
475,2263
1140,1028
1514,2163
2269,2100
980,1397
1390,1285
1336,2400
1351,2333
271,212
1651,1689
2080,1067
2324,1860
2427,808
2222,44
1123,2053
224,1740
1009,677
423,2165
1703,1107
584,1230
1087,1786
1732,2392
408,158
1397,736
2056,1173
1740,1781
2022,392
1984,807
508,1492
1169,1361
2290,451
304,1211
443,379
2422,1940
444,1921
1917,563
1389,673
1888,106
651,1476
2328,773
1715,1384
1490,694
176,1756
1759,657
2261,2410
1353,1215
1298,886
2259,2050
3,1588
2444,1435
2484,1845
204,1025
806,1558
1205,2204
376,1343
1696,988
530,1578
2097,1144
290,2450
706,1106
237,2027
1190,1042
246,1161
1093,267
97,2236
529,1456
372,942
509,400
1463,909
298,766
291,893
1253,687
452,756
644,572
1202,1157
2379,149
57,209
697,1146
1818,168
2311,1110
1325,2133
384,2201
2339,1054
2242,1378
1535,1430
1209,289
2350,1157
1954,1182
386,2427
2,1743
1575,830
1594,2012
2406,1827
2318,464
363,329
783,614
1571,920
2211,1044
443,593
1340,2173
1201,1238
1243,2236
1748,1296
635,43
1792,908
260,1166
1360,2139
1998,488
307,2321
2022,1386
1507,707
1316,1362
1432,1061
1771,1132
183,2216
826,1297
290,479
1743,1437
1767,1381
1150,1388
1172,2416
719,1544
419,859
1555,1859
1032,1994
656,397
155,2083
1700,1055
1233,303
2318,1256
1669,1440
1445,2362
224,552
743,2116
2426,979
198,1927
784,560
2054,489
413,2364
2442,667
1658,1301
1138,2496
1794,2133
1939,1969
1391,2303
572,2490
165,276
681,517
1013,1805
825,1475
1976,1894
890,2001
1225,445
2131,1349
568,1573
1366,2271
866,243
2154,2125
14,268
2439,2260
616,1195
274,1606
844,1090
1287,1474
1692,2087
1065,602
227,1358
2350,2084
1942,1334
1547,1973
799,2470
1245,424
280,634
1871,1122
249,1976
2366,1802
1033,1625
16,1644
168,62
71,1834
2018,273
1656,1867
587,1095
172,1530
324,727
54,2275
1347,1072
1038,155
1671,1636
812,1801
323,546
1254,2292
1109,753
748,2195
682,1559
2329,674
495,2087
914,2256
1476,1851
1911,426
781,454
2088,1659
2385,2263
198,744
485,1374
1347,1949
921,1127
2233,657
297,728
1671,1667
950,1838
805,272
828,2387
555,141
1828,785
1660,79
940,635
435,1274
529,442
2024,206
889,2344
2130,867
2379,326
402,1833
547,1745
919,2023
1059,485
1343,2314
2120,331
135,1203
636,462
2117,2030
928,1643
71,999
1068,968
1587,868
1947,256
1354,1442
1544,1395
36,1092
1428,591
835,818
2121,1488
316,1237
2067,1734
1761,770
34,581
4,1887
1319,1179
548,1172
2477,851
2272,1301
2083,1713
2305,632
161,62
2007,2052
265,846
880,1937
61,856
1174,1654
1175,203
2210,829
811,866
2286,2004
1260,2300
532,1313
1470,2280
1776,582
1674,1657
1951,1681
1638,894
1566,1810
241,402
320,137
1565,380
173,736
2411,793
357,1955
500,573
731,1719
478,2179
2272,746
2062,2180
980,1298
1877,1762
1640,228
2108,2361
1629,430
1850,881
1585,303
2496,432
108,1748
1027,185
2228,2392
1268,133
674,63
2383,530
914,1639
39,208
1976,914
1732,42
1103,741
1877,817
553,1221
2271,2161
1472,677
1412,2134
593,1083
796,1252
2057,644
1405,670
2466,226
2362,1128
1955,2443
2412,2366
1507,1488
1620,439
764,1533
2322,683
106,2082
1096,1143
390,823
926,1588
1242,383
1169,296
471,2315
2392,750
781,432
2055,2417
853,1172
1377,2291
2175,2208
1745,1767
1565,817
2010,1904
1648,1522
790,361
799,226
527,2115
2051,2183
262,1737
2419,1998
1699,878
2493,2401
423,2368
621,113
740,427
1342,382
2006,2478
293,2493
1242,1724
192,2463
1934,382
595,2393
1152,2481
1340,780
111,490
499,210
1769,1678
648,1442
971,1983
1146,1232
1961,602
1426,1689
2286,2308
1231,989
943,1815
1249,122
1394,1398
255,378
698,1936
1340,1402
1252,913
1557,1171
598,2277
1163,2400
1629,1536
617,1315
1883,1103
1619,390
1565,1716
361,2222
167,620
667,662
1362,842
305,1399
1608,263
1631,1955
1859,1375
1407,2408
2371,1930
293,1162
2213,1010
445,796
2057,630
1076,681
1503,1212
2346,709
975,2139
730,1098
1723,504
1857,64
2410,1939
2187,1403
1441,2400
2093,2163
2301,259
2230,2418
1654,660
959,1195
2248,1598
1853,427
2479,2071
1182,2226
797,605
518,985
298,2381
2163,2124
1760,420
397,2084
2131,1014
1347,581
291,641
2126,204
998,39
1666,1710
2237,1843
768,377
334,992
1783,3
594,1144
1165,58
850,1528
1377,2446
1959,1506
1398,282
29,352
2179,66
938,1401
1400,1861
530,960
277,539
316,654
1155,1889
1319,532
2309,350
343,594
1583,866
2063,490
1177,2461
1487,2003
654,121
1377,447
1884,245
1346,1226
1925,1174
2394,2320
2064,2432
684,1315
1717,1071
907,313
2323,607
2051,1472
364,1521
2238,2291
1544,1350
1897,484
1749,158
1299,2438
1497,1659
714,280
1596,70
1747,1288
702,1804
1953,2193
10,1660
1260,1473
319,614
226,1451
271,103
524,705
1361,2210
264,552
527,2421
1208,778
2126,1718
2380,1564
1968,185
395,1848
2215,135
576,132
283,2018
345,2058
733,1961
1320,2349
58,598
2458,2466
1328,812
2192,99
468,2240
2126,1426
591,2154
994,640
1194,376
1238,1370
840,1122
2016,1482
900,457
326,175
1137,1067
1015,358
301,462
1983,495
712,1339
1087,1871
474,692
1029,19
1578,730
1015,183
1028,1428
128,1777
2193,1072
1364,2423
1235,265
1248,96
2469,2041
991,967
1624,359
1796,757
877,1096
491,1062
2335,634
168,2236
2432,1250
1112,1614
532,2077
1168,2311
998,2
219,902
1234,1824
1613,1887
1568,1292
2395,2442
1040,1398
1133,1899
1253,405
503,2022
1661,1190
522,1814
2332,2220
2496,264
1683,392
613,1309
1745,1001
2318,687
562,1219
1210,2017
1856,125
2008,2155
1111,271
1587,2312
438,2389
1651,773
1456,1656
1895,912
787,2257
401,2072
855,16
698,2073
940,1997
145,724
529,1098
2316,2426
385,566
428,743
2239,1590
1387,776
2383,2122
1095,548
2121,2434
691,1990
754,2047
1764,114
2081,707
1115,1564
1733,229
1507,2165
1542,420
1396,2155
193,1708
493,2228
387,564
20,2315
1429,1715
2325,1025
1105,438
1646,816
2367,2443
1946,2006
1201,967
2002,1060
944,1894
1874,671
10,2382
1733,1048
1665,856
1383,1168
1620,1508
10,378
1290,1791
2331,1601
2220,2174
1882,2093
1090,806
402,1320
1277,1202
1625,525
1626,898
2174,313
1987,897
255,209
2222,906
2088,1818
14,2141
655,676
914,26
18,2206
2053,1261
1171,1231
1344,911
335,87
1711,2317
2252,357
1082,1174
1292,363
321,430
560,2282
1092,111
436,262
1220,1435
193,2153
2040,1150
1143,1844
191,1518
1781,2386
1416,1954
2256,1409
129,771
186,852
400,2440
1490,955
597,1742
356,788
2115,1235
1445,1299
1654,208
1850,1667
1251,926
1310,2198
1773,2250
2304,2289
1005,2142
133,1995
493,399
2034,1095
2188,55
1823,1034
238,1408
1940,3
1871,2336
1994,2207
405,803
488,933
2136,653
2147,2170
2289,1623
1542,1184
721,1113
680,928
1258,2496
2423,1954
1751,114
2489,2308
1027,1814
944,2052
1670,2449
979,1297
802,1301
494,187
1569,1424
2289,2244
777,643
2348,306
1957,1182
279,1230
520,902
2274,2412
653,1251
2135,1860
1762,2302
1320,429
2443,229
1647,1470
1920,1633
662,2271
22,468
486,1332
841,1577
2294,164
2346,1024
2020,1018
816,1385
