IdP,IdL
1,3901
2,3963
3,1271
4,1596
5,1072
6,
7,417
8,3647
9,1802
10,309
11,308
12,1507
13,2072
14,
15,1296
16,4997
17,4205
18,3791
19,2967
20,410
21,4083
22,958
23,2927
24,
25,3614
26,3945
27,1671
28,3578
29,1926
30,4686
31,80
32,4717
33,2692
34,4799
35,2627
36,252
37,779
38,2255
39,3397
40,289
41,
42,597
43,1706
44,4894
45,
46,236
47,3602
48,
49,3667
50,982
51,2639
52,2204
53,1202
54,2500
55,665
56,2940
57,1381
58,4580
59,4617
60,4092
61,2804
62,1831
63,3513
64,4671
65,4744
66,2205
67,2301
68,1550
69,2934
70,4394
71,4364
72,292
73,
74,2522
75,4154
76,2131
77,3726
78,1189
79,
80,2854
81,3351
82,8
83,4195
84,3720
85,2099
86,263
87,1152
88,946
89,4250
90,4168
91,2193
92,1168
93,2360
94,2122
95,858
96,
97,
98,4882
99,3423
100,1810
101,1701
102,21
103,3602
104,4383
105,695
106,4308
107,3970
108,1612
109,4402
110,691
111,691
112,4623
113,2977
114,789
115,1358
116,2721
117,4814
118,2535
119,1306
120,4471
121,1200
122,2157
123,4674
124,4834
125,4772
126,1403
127,161
128,3423
129,2827
130,
131,4245
132,2946
133,3410
134,
135,
136,308
137,3641
138,1315
139,983
140,4988
141,3463
142,4527
143,1752
144,3864
145,1966
146,
147,2681
148,
149,1851
150,3338
151,3461
152,4616
153,802
154,3240
155,2115
156,1682
157,887
158,2189
159,3437
160,
161,
162,2785
163,388
164,1764
165,2069
166,3300
167,4309
168,3236
169,4333
170,4736
171,4128
172,2734
173,1056
174,3702
175,2444
176,3138
177,4400
178,3892
179,3479
180,3192
181,4857
182,3082
183,361
184,2659
185,1288
186,
187,2629
188,241
189,435
190,
191,2964
192,2031
193,2967
194,
195,1247
196,711
197,4557
198,704
199,2164
200,3012
201,
202,3064
203,2348
204,
205,3371
206,1733
207,1861
208,
209,1328
210,3318
211,182
212,4131
213,974
214,1109
215,2777
216,1540
217,2843
218,824
219,1958
220,2259
221,3343
222,3910
223,73
224,2084
225,3409
226,2248
227,1528
228,
229,2748
230,3763
231,
232,2945
233,3091
234,200
235,4873
236,1908
237,2996
238,
239,910
240,2918
241,1547
242,1448
243,4220
244,4153
245,3287
246,
247,2628
248,1787
249,4259
250,4790
251,1090
252,2672
253,
254,94
255,924
256,
257,3880
258,640
259,3859
260,1931
261,2327
262,
263,1532
264,1007
265,3490
266,1009
267,3220
268,223
269,1202
270,3658
271,3737
272,4844
273,2437
274,3203
275,1411
276,1129
277,752
278,2248
279,3029
280,3612
281,3240
282,
283,
284,1525
285,2155
286,
287,4968
288,3695
289,
290,3139
291,3430
292,918
293,1453
294,54
295,633
296,3577
297,4500
298,4907
299,
300,
301,665
302,4172
303,2276
304,945
305,1463
306,2515
307,
308,1846
309,1642
310,3588
311,
312,2791
313,529
314,3677
315,1830
316,277
317,1922
318,
319,3767
320,
321,
322,4087
323,2596
324,127
325,2409
326,4599
327,1866
328,4793
329,737
330,2542
331,2989
332,4168
333,3876
334,2165
