idI,IdC
1,4496
2,210
3,2715
4,4234
5,3446
6,2842
7,1092
8,2350
9,2880
10,1664
11,2380
12,877
13,3026
14,3475
15,4310
16,4466
17,4316
18,4239
19,993
20,298
21,1656
22,999
23,2698
24,4442
25,2342
26,3426
27,1210
28,751
29,1939
30,1021
31,4867
32,239
33,4650
34,4683
35,4377
36,3480
37,702
38,4187
39,1502
40,1320
41,2605
42,3524
43,258
44,170
45,416
46,10
47,2986
48,684
49,3708
50,4980
51,4758
52,2228
53,291
54,2180
55,29
56,3359
57,3886
58,2090
59,2365
60,4437
61,3499
62,2027
63,4274
64,1439
65,673
66,3150
67,3690
68,3988
69,964
70,2253
71,2718
72,939
73,1836
74,2148
75,4539
76,3581
77,4738
78,1391
79,3552
80,3860
81,1521
82,3082
83,1477
84,3268
85,1587
86,2912
87,2633
88,2357
89,506
90,192
91,4786
92,4155
93,2538
94,3975
95,1165
96,1105
97,4611
98,60
99,3701
100,12
101,559
102,3592
103,806
104,3256
105,4102
106,2973
107,2136
108,927
109,4853
110,1067
111,429
112,3512
113,3900
114,4654
115,1802
116,1208
117,4302
118,348
119,4941
120,3117
121,2984
122,2089
123,3453
124,1620
125,4922
126,299
127,3856
128,1018
129,3823
130,1167
131,3733
132,1570
133,2496
134,3997
135,46
136,1512
137,745
138,3996
139,4201
140,4468
141,1435
142,4055
143,865
144,2870
145,87
146,3793
147,488
148,2690
149,4014
150,2755
151,41
152,1212
153,54
154,2456
155,3841
156,3025
157,1800
158,4277
159,4719
160,3235
161,1586
162,4421
163,3352
164,4264
165,4948
166,4968
167,902
168,2041
169,1203
170,483
171,2233
172,841
173,2861
174,4440
175,1714
176,4455
177,1969
178,3497
179,631
180,2209
181,3013
182,125
183,2256
184,2681
185,4395
186,32
187,2641
188,278
189,526
190,1705
191,153
192,3916
193,3212
194,2130
195,3406
196,2784
197,85
198,2046
199,984
200,4502
201,3568
202,3112
203,3495
204,3889
205,1995
206,849
207,671
208,3697
209,4304
210,3847
211,4568
212,1034
213,538
214,3160
215,2301
216,3962
217,2510
218,1903
219,2269
220,119
221,3842
222,4205
223,4825
224,3349
225,2270
226,3792
227,2459
228,3894
229,1713
230,2661
231,737
232,137
233,3952
234,3361
235,4241
236,3533
237,480
238,1637
239,198
240,727
241,3233
242,4076
243,3985
244,4171
245,4051
246,3080
247,2644
248,4042
249,205
250,4424
251,2157
252,225
253,3313
254,4581
255,2035
256,4764
257,4247
258,2564
259,2843
260,4162
261,2487
262,485
263,2935
264,2748
265,1813
266,4751
267,893
268,2780
269,604
270,560
271,3144
