IdL,verifie,nom
1,0,Poireau
2,0,Salsifis
3,1,Panais
4,1,Topinambour
5,0,Salsifis
6,0,Artichaut
7,1,Carotte
8,1,Chou
9,0,Salsifis
10,1,Panais
11,1,Chou
12,1,Raifort
13,0,Poireau
14,0,Raifort
15,0,Topinambour
16,0,Betterave
17,1,Artichaut
18,1,Poireau
19,1,Chou
20,1,Poireau
21,1,Raifort
22,1,Artichaut
23,0,Artichaut
24,0,Raifort
25,0,Betterave
26,1,Carotte
27,1,Carotte
28,1,Navet
29,1,Navet
30,0,Salsifis
31,0,Chou
32,0,Ail
33,1,Betterave
34,1,Navet
35,0,Salsifis
36,1,Raifort
37,1,Navet
38,0,Poireau
39,0,Artichaut
40,0,Artichaut
41,0,Salsifis
42,1,Betterave
43,0,Panais
44,0,Chou
45,1,Artichaut
46,0,Carotte
47,0,Salsifis
48,0,Poireau
49,0,Chou
50,1,Carotte
51,0,Oignon
52,0,Betterave
53,1,Artichaut
54,1,Topinambour
55,0,Navet
56,0,Poireau
57,1,Salsifis
58,0,Artichaut
59,1,Ail
60,1,Salsifis
61,1,Poireau
62,0,Oignon
63,0,Carotte
64,1,Poireau
65,1,Topinambour
66,0,Poireau
67,1,Raifort
68,1,Betterave
69,1,Artichaut
70,1,Poireau
71,0,Artichaut
72,1,Chou
73,0,Navet
74,0,Panais
75,1,Oignon
76,1,Panais
77,1,Chou
78,1,Oignon
79,0,Artichaut
80,1,Chou
81,1,Carotte
82,0,Artichaut
83,1,Betterave
84,1,Topinambour
85,0,Panais
86,1,Chou
87,0,Topinambour
88,1,Chou
89,0,Navet
90,1,Ail
91,0,Ail
92,0,Ail
93,1,Poireau
94,0,Raifort
95,0,Carotte
96,1,Topinambour
97,1,Navet
98,0,Navet
99,1,Chou
100,1,Carotte
101,1,Navet
102,0,Ail
103,1,Salsifis
104,0,Ail
105,0,Ail
106,0,Poireau
107,0,Ail
108,0,Ail
109,1,Ail
110,1,Topinambour
111,1,Salsifis
112,1,Raifort
113,1,Carotte
114,1,Topinambour
115,1,Raifort
116,0,Salsifis
117,0,Oignon
118,0,Poireau
119,1,Carotte
120,0,Navet
121,1,Carotte
122,0,Oignon
123,0,Topinambour
124,1,Ail
125,0,Poireau
126,1,Topinambour
127,1,Chou
128,0,Topinambour
129,1,Navet
130,1,Panais
131,0,Artichaut
132,0,Ail
133,0,Poireau
134,1,Salsifis
135,0,Artichaut
136,0,Artichaut
137,1,Chou
138,1,Topinambour
139,0,Raifort
140,1,Panais
141,0,Ail
142,1,Carotte
143,1,Chou
144,1,Oignon
145,0,Navet
146,0,Carotte
147,0,Navet
148,1,Betterave
149,1,Topinambour
150,0,Betterave
151,1,Panais
152,1,Carotte
153,1,Oignon
154,0,Panais
155,1,Chou
156,0,Carotte
157,0,Oignon
158,0,Topinambour
159,0,Oignon
160,1,Raifort
161,0,Chou
162,1,Betterave
163,1,Topinambour
164,0,Oignon
165,1,Betterave
166,1,Raifort
167,1,Ail
168,0,Oignon
169,1,Oignon
170,1,Oignon
171,1,Betterave
172,1,Oignon
173,0,Panais
174,1,Chou
175,1,Poireau
176,1,Poireau
177,0,Raifort
178,1,Artichaut
179,0,Panais
180,1,Artichaut
181,0,Betterave
182,1,Oignon
183,0,Carotte
184,0,Oignon
185,0,Topinambour
186,1,Carotte
187,0,Carotte
188,0,Betterave
189,0,Salsifis
190,1,Panais
191,0,Ail
192,0,Chou
193,1,Carotte
194,1,Navet
195,1,Betterave
196,1,Carotte
197,1,Ail
198,0,Betterave
199,1,Salsifis
200,1,Betterave
201,1,Poireau
202,0,Navet
203,0,Raifort
204,0,Carotte
205,1,Oignon
206,0,Poireau
207,0,Topinambour
208,1,Betterave
209,1,Artichaut
210,1,Salsifis
211,1,Poireau
212,1,Oignon
213,0,Ail
214,1,Salsifis
215,1,Raifort
216,0,Salsifis
217,0,Carotte
218,0,Betterave
219,0,Chou
220,1,Oignon
221,1,Betterave
222,0,Panais
223,0,Salsifis
224,1,Navet
225,1,Navet
226,1,Poireau
227,0,Panais
228,0,Panais
229,1,Navet
230,0,Poireau
231,1,Carotte
232,1,Salsifis
233,1,Oignon
234,1,Chou
235,0,Artichaut
236,1,Carotte
237,0,Oignon
238,1,Oignon
239,0,Chou
240,1,Chou
241,0,Oignon
242,0,Oignon
243,0,Poireau
244,1,Salsifis
245,0,Ail
246,1,Topinambour
247,0,Raifort
248,0,Navet
249,1,Betterave
250,0,Panais
251,0,Oignon
252,1,Navet
253,0,Ail
254,1,Chou
255,0,Ail
256,1,Betterave
257,1,Ail
258,0,Navet
259,0,Chou
260,0,Navet
261,0,Chou
262,0,Poireau
263,0,Betterave
264,0,Navet
265,1,Chou
266,0,Poireau
267,1,Oignon
268,1,Topinambour
269,0,Carotte
270,1,Panais
271,0,Panais
272,1,Topinambour
273,0,Ail
274,0,Panais
275,1,Carotte
276,1,Chou
277,0,Betterave
278,1,Topinambour
279,1,Ail
280,1,Betterave
281,1,Raifort
282,1,Panais
283,1,Chou
284,1,Oignon
285,0,Raifort
286,1,Carotte
287,1,Betterave
288,1,Oignon
289,1,Betterave
290,1,Navet
291,1,Ail
292,0,Topinambour
293,0,Topinambour
294,0,Oignon
295,0,Ail
296,1,Ail
297,0,Salsifis
