IdE,certificat_entretien,CodeMembre
1,2003-07-04,641
2,2022-01-12,94333
3,2002-06-05,13007
4,2015-01-22,1500
5,2014-11-03,49268
6,2021-11-16,37124
7,2006-06-11,18070
8,2011-08-05,72707
9,2002-06-16,98869
10,2010-10-07,35
11,2023-03-11,66973
12,2009-10-07,92048
13,2004-03-24,49120
14,2018-01-15,40632
15,2011-09-12,38518
16,2014-01-18,10753
17,2002-03-26,84765
18,2015-08-11,88139
19,2004-05-18,58165
20,2018-08-15,51549
21,2011-12-18,71568
22,2018-03-19,40424
23,2015-02-21,92323
24,2013-01-27,79731
25,2004-11-28,92167
26,2004-01-01,85840
27,2008-02-15,76704
28,2016-05-19,46077
29,2004-05-19,536
30,2001-02-15,92471
31,2012-05-10,88240
32,2015-12-18,17868
33,2007-03-18,97508
34,2014-04-11,3602
35,2008-03-21,62573
36,2014-05-16,54253
37,2022-01-06,75074
38,2021-11-11,7554
39,2021-03-11,66155
40,2013-01-02,9496
41,2010-01-31,34684
42,2014-12-16,80382
43,2012-08-25,42220
44,2014-12-25,99509
45,2004-11-15,61337
46,2015-02-21,99818
47,2001-11-26,54792
48,2008-01-16,7369
49,2011-07-18,14491
50,2014-03-07,26176
51,2000-08-13,74809
52,2009-10-30,26782
53,2005-03-11,80816
54,2008-08-28,60530
55,2022-07-17,48649
56,2000-09-04,53871
57,2016-11-07,63357
58,2015-12-30,97485
59,2011-04-08,51307
60,2000-09-15,57781
61,2012-12-15,15956
62,2017-09-25,97360
63,2012-09-29,55219
64,2000-01-14,96249
65,2013-01-17,34614
66,2013-01-29,90291
67,2003-01-25,88879
68,2011-09-16,96250
69,2015-05-12,73573
70,2014-11-22,91454
71,2017-06-22,54387
72,2016-10-20,98206
73,2015-07-20,98000
74,2020-11-27,18102
75,2006-01-26,35349
76,2020-10-21,76960
77,2001-07-24,11065
78,2006-11-17,2604
79,2013-06-07,45186
80,2001-02-04,77856
81,2015-06-04,58446
82,2023-07-01,86317
83,2009-05-25,70617
84,2018-03-15,99037
85,2019-05-03,31613
86,2023-09-17,46455
87,2014-05-18,91240
88,2008-09-21,53447
89,2007-10-23,65791
90,2005-01-31,34942
91,2022-10-11,57451
92,2017-08-13,97568
93,2006-07-29,89660
94,2021-03-31,39367
95,2005-05-26,54904
96,2021-02-01,53591
97,2005-03-11,79470
98,2019-03-07,83073
99,2001-01-06,85556
100,2018-09-12,14555
101,2003-09-03,76695
102,2011-05-07,45703
103,2016-08-20,48877
104,2012-10-28,72941
105,2020-11-18,45438
106,2017-07-14,46587
107,2015-10-12,27759
108,2017-05-09,40989
109,2002-07-09,20858
110,2019-08-15,31263
111,2005-03-22,41059
112,2010-03-14,84204
113,2009-10-26,23770
114,2004-08-29,56823
115,2000-08-24,11943
116,2013-09-05,34399
117,2017-02-19,53040
118,2001-11-01,33795
119,2011-07-18,39317
120,2010-01-01,24070
121,2005-10-31,64791
122,2002-11-26,78246
123,2013-04-17,55860
124,2010-02-11,10192
125,2004-02-20,46769
126,2008-06-22,19444
127,2008-11-03,88437
128,2006-04-13,16383
129,2000-02-08,65932
130,2000-10-20,82251
131,2020-01-14,65877
132,2012-08-23,19018
133,2015-05-27,15773
134,2005-04-27,35386
135,2019-05-13,2159
136,2009-05-23,8623
137,2013-08-21,37390
138,2010-05-17,9432
139,2010-09-03,4567
140,2018-01-01,58129
141,2002-06-28,27441
142,2006-05-22,16959
143,2020-01-07,15950
144,2014-06-16,48490
145,2001-04-10,93910
146,2012-06-05,58818
147,2006-04-17,90328
148,2019-09-27,60763
149,2016-10-10,96688
150,2021-02-08,15312
151,2004-11-04,97751
152,2011-06-18,56533
153,2011-11-06,93122
154,2008-04-12,65408
155,2006-09-06,91015
156,2001-08-05,62881
157,2021-03-20,36960
158,2002-06-08,95947
159,2000-03-08,48270
160,2010-03-17,24663
161,2000-11-13,55757
162,2017-05-11,10133
163,2007-07-27,77615
164,2015-04-12,99306
165,2021-05-18,82547
166,2006-11-14,61626
167,2017-12-14,8793
168,2016-10-04,65489
169,2008-05-20,36327
170,2006-06-24,58301
171,2016-11-27,2814
172,2008-10-26,80623
173,2003-01-27,30573
174,2005-12-21,81335
175,2003-09-29,96604
176,2023-09-13,29208
177,2007-09-11,7767
178,2003-06-07,29594
179,2023-10-17,6396
180,2000-01-15,62879
181,2013-11-19,96797
182,2001-06-29,99286
183,2004-12-27,925
184,2021-07-22,20854
185,2005-12-24,97191
186,2021-09-15,27346
187,2006-07-20,26701
188,2008-08-06,29299
189,2015-09-18,57660
190,2022-05-30,8463
191,2015-05-18,57728
192,2004-11-28,30615
193,2010-02-28,24587
194,2010-05-26,38595
195,2021-01-19,5983
196,2011-11-17,32685
197,2014-08-04,85022
198,2006-05-20,84649
199,2009-01-20,36065
200,2000-07-03,72309
201,2004-05-18,91752
202,2008-11-04,70599
203,2024-01-07,4462
204,2015-05-04,54799
205,2000-08-16,56178
206,2013-01-23,40357
207,2014-10-31,90117
208,2019-12-27,57869
209,2002-08-06,60716
210,2014-10-02,14011
211,2008-04-04,25986
212,2002-06-30,98081
213,2017-12-28,66686
214,2013-01-20,85772
215,2015-05-12,17764
216,2012-05-04,70810
217,2021-08-12,42740
218,2021-12-19,83604
219,2008-05-18,63912
220,2007-12-14,91532
221,2014-08-06,14283
222,2017-12-16,29316
223,2013-10-09,31046
224,2024-04-13,90782
225,2000-03-27,35102
226,2001-09-07,75676
227,2012-10-10,13683
228,2012-02-04,7664
229,2007-07-16,77935
230,2019-01-04,84049
231,2019-08-03,94347
232,2009-05-28,58392
233,2001-09-20,50555
