IdOrdre,IdO
1,3536
2,1925
3,966
4,143
5,4011
6,4427
7,1027
8,28
9,557
10,852
11,1308
12,4629
13,1781
14,366
15,4798
16,713
17,4077
18,2316
19,2603
20,3491
21,2725
22,2697
23,293
24,2337
25,1069
26,480
27,4640
28,2756
29,1357
30,611
31,3366
32,3200
33,3879
34,877
35,3836
36,580
37,1665
38,3131
39,2920
40,4431
41,2500
42,2616
43,2086
44,2693
45,312
46,2505
47,1246
48,2981
49,2999
50,1623
51,2156
52,1686
53,1409
54,4372
55,3055
56,1876
57,4445
58,796
59,1361
60,3769
61,820
62,3672
63,186
64,4260
65,4330
66,2408
67,1831
68,2285
69,2916
70,3225
71,3400
72,2160
73,3290
74,3655
75,2202
76,2226
77,1670
78,3623
79,18
80,1039
81,686
82,3027
83,1086
84,2944
85,3338
86,4504
87,567
88,1170
89,2070
90,3712
91,730
92,182
93,4335
94,2005
95,443
96,3866
97,2630
98,562
99,2021
100,3409
101,2751
102,1195
103,2473
104,3982
105,1112
106,200
107,2857
108,1279
109,3147
110,4804
111,2178
112,4354
113,3424
114,3416
115,4986
116,2567
117,367
118,1992
119,3508
120,3662
121,3677
122,1803
123,1639
124,751
125,2624
126,1965
127,2362
128,4556
129,2789
130,3335
131,102
132,693
133,3150
134,3412
135,1907
136,1076
137,3485
138,3081
139,2773
140,2302
141,4993
142,4271
143,3694
144,993
145,3111
146,2314
147,2224
148,2705
149,4593
150,1489
151,786
152,3170
153,2183
154,4094
155,4636
156,3658
157,2726
158,2877
159,3425
160,3740
161,758
162,571
163,3280
164,3776
165,4474
166,4209
167,3964
168,2058
169,237
170,3015
171,4234
172,1570
173,2108
174,1323
175,156
176,4288
177,2255
178,4902
179,3668
180,1487
181,3058
182,450
183,2602
184,453
185,1779
186,901
187,874
188,3710
189,1449
190,4909
191,3837
192,3970
193,4551
194,3919
195,2036
196,846
197,273
198,4983
199,1782
200,240
201,2701
202,4673
203,1402
204,1057
205,2604
206,1765
207,415
208,3513
209,858
210,4954
211,3999
212,1533
213,2799
214,3189
215,3604
216,1736
217,2205
218,554
219,2292
220,1904
221,1692
222,2185
223,3714
224,1282
225,4353
226,3345
227,4503
228,2928
229,4533
230,15
231,4191
232,4477
233,4122
234,2211
235,4151
236,4837
237,2179
238,3596
239,4228
240,4961
241,4702
242,2898
243,4967
244,3555
245,4095
246,577
247,1389
248,1627
249,4783
250,4084
251,3126
252,285
253,1819
254,3451
255,388
256,1174
257,1000
258,4825
259,421
260,169
261,2808
262,2851
263,2870
264,2963
265,478
266,4973
267,3294
268,3842
269,2926
270,4666
271,2128
272,4472
273,965
274,2491
275,922
276,3281
277,439
278,3547
279,2069
280,3144
281,1330
282,1827
283,4496
284,481
285,4576
286,1343
287,3507
288,3351
289,1121
290,640
291,2472
292,2354
293,3959
294,895
295,35
296,4420
297,3816
298,3911
299,3792
300,3465
301,1600
302,3854
303,4687
304,2221
305,2539
306,3009
307,3863
308,516
309,389
310,1387
311,2122
312,4933
313,1033
314,830
315,49
316,4290
317,2684
318,987
319,2714
320,504
321,4310
322,4032
323,3992
324,3956
325,2941
326,4214
327,1555
328,1229
329,4670
330,2924
331,4333
332,4589
333,1251
334,2098
335,1547
336,4307
337,45
338,1025
339,4642
340,2620
341,1698
342,352
343,690
344,311
345,3518
346,3250
347,101
348,458
349,2476
350,2288
351,1707
352,4908
353,2531
354,2969
355,3512
356,1360
357,973
358,4997
359,327
360,4745
361,1937
362,4430
363,4176
364,3284
365,4045
366,4753
367,3883
368,1773
369,2140
370,93
371,3473
372,4852
373,2967
374,665
375,1077
376,1878
377,196
378,2308
379,1599
380,2203
381,363
382,835
383,454
384,138
385,2787
386,1138
387,3101
388,1410
389,3129
390,1626
391,1403
392,2324
393,3667
394,619
395,2110
396,4856
397,2227
398,2570
399,2375
400,1848
401,4657
402,4179
403,1743
404,3426
405,2050
406,1285
407,3469
408,642
409,601
410,1938
411,4018
412,3726
413,2171
414,2431
415,780
416,4370
417,746
418,402
419,3806
420,1647
421,2498
422,1318
423,4451
424,2508
425,1064
426,2897
427,2855
428,4746
429,1525
430,1349
431,2775
432,4883
433,3609
434,4126
435,1194
436,4512
437,495
438,3753
439,2450
440,1058
441,3201
442,2557
443,1134
444,4653
445,1642
446,1662
447,3020
448,823
449,4070
450,4634
451,2863
452,1116
453,2012
454,582
455,4706
456,512
457,1809
458,4030
459,518
460,3542
461,1274
462,3321
463,3978
464,1366
465,3561
466,844
467,2106
468,1478
469,1653
470,3564
471,3380
472,1182
473,2412
474,3958
475,3890
476,1371
477,954
478,3532
479,3774
480,4905
481,2583
482,4219
483,3641
484,1999
485,1716
486,2526
487,3814
488,3927
489,4869
490,1129
491,328
492,4238
493,3311
494,1767
495,2553
496,753
497,2710
498,457
499,2151
500,1250
