IdP,IdC
816,3475
3579,400
2247,2990
2865,4385
4620,2272
4319,388
4123,4045
4087,98
4689,2159
698,4967
838,719
2992,4766
966,766
656,2268
2574,4420
3312,3301
1924,2427
839,652
2118,1722
2215,1847
3051,4866
2712,1992
1551,3716
335,351
197,4213
3877,1964
1581,869
3532,1124
1629,1543
811,3287
1743,2957
2584,1353
2476,4627
3246,228
1422,4204
2613,1841
3161,183
2030,4074
2383,2155
3124,797
2595,1046
139,1148
1023,1316
94,2391
386,3072
3267,4108
3337,1997
2614,2888
4543,4098
2124,4624
3215,3610
3000,703
1488,491
2100,1236
54,4453
3058,4914
1423,2050
2490,3411
4882,3724
3719,1344
212,2961
2368,4575
124,587
2776,597
4811,2756
3223,2796
2012,2650
386,765
2354,959
4722,1432
631,1720
588,54
281,720
4330,3894
1142,1000
119,1835
3290,1033
31,3065
353,1449
2313,2821
726,1838
1235,2302
459,2394
2020,4101
3387,3226
2798,2199
948,1018
4977,1828
2530,2247
2510,4497
1883,3805
641,4372
1770,3233
1049,3865
2103,2041
3930,2885
3883,2074
270,4067
1974,427
4066,1021
3164,4156
468,2297
262,1424
4499,2847
2536,377
4608,955
3422,4586
3275,4215
4961,1356
3615,873
4480,2584
2961,31
1521,3289
3629,1836
1362,4793
1835,3758
2814,4159
524,1781
1568,3048
2328,327
849,2842
1920,3175
2248,3468
874,978
52,440
4542,196
820,3608
1466,1243
3305,1546
533,1155
3919,3814
4633,2382
3472,4584
1672,3602
4632,1328
2986,942
4731,4723
282,89
872,2006
689,3795
991,443
586,1594
4360,1986
456,1313
524,67
2209,4872
3847,4761
3481,4320
3462,360
3374,3317
4833,569
1057,2441
1293,1578
4668,561
186,231
80,877
1625,3626
1016,479
2433,4351
499,412
3893,229
2920,742
510,1787
2144,1031
4391,1817
3247,4681
3490,722
692,1900
4929,4026
4953,2758
2395,3167
2838,3973
2522,1499
4514,1840
2343,1110
2549,449
3417,3717
2014,4645
3729,2391
1820,4371
4606,4506
884,134
2164,95
3103,2355
3573,1567
785,2482
3812,258
3861,2634
