idS,IdC
1,3719
2,652
3,4246
4,2187
5,4245
6,4363
7,2075
8,3763
9,2961
10,837
11,3440
12,1518
13,1266
14,4707
15,3439
16,1019
17,460
18,2590
19,2917
20,4770
21,4936
22,4271
23,3378
24,2510
25,4974
26,629
27,1636
28,3471
29,4793
30,402
31,2709
32,2507
33,4760
34,4265
35,1011
36,3737
37,455
38,3232
39,3630
40,541
41,1399
42,4949
43,3813
44,739
45,2159
46,986
47,3144
48,154
49,4269
50,1116
51,1339
52,2
53,1598
54,1817
55,752
56,316
57,858
58,677
59,88
60,429
61,2689
62,1770
63,4869
64,3446
65,676
66,664
67,1709
68,3908
69,3002
70,2976
71,2518
72,1655
73,1043
74,3899
75,2836
76,2018
77,1065
78,3259
79,1359
80,2639
81,1174
82,2914
83,3382
84,2185
85,1179
86,3099
87,3319
88,4444
89,3266
90,3235
91,3832
92,2777
93,329
94,4582
95,7
96,1585
97,1969
98,451
99,2622
100,1697
101,92
102,3676
103,3352
104,1305
105,1525
106,2339
107,1860
108,3397
109,1703
110,4164
111,1592
112,440
113,848
114,2129
115,1548
116,2488
117,3731
118,4655
119,2903
120,3896
121,210
122,4955
123,4857
124,1714
125,1620
126,3181
127,2819
128,1284
129,1221
130,1872
131,3330
132,4817
133,2130
134,310
135,492
136,4681
137,4364
138,3850
139,4181
140,3391
141,590
142,168
143,4247
144,3116
145,3664
146,2916
147,3870
148,1777
149,1010
150,2910
151,3079
152,4033
153,4512
154,4234
155,4806
156,2458
157,2495
158,1962
159,3335
160,2172
161,3783
162,24
163,932
164,982
165,3725
166,4736
167,2226
168,2186
169,602
170,1710
171,4758
172,1789
173,1454
174,3880
175,1681
176,892
177,4465
178,277
179,1885
180,3968
181,2338
182,2888
183,3733
184,876
185,3088
186,3401
187,4958
188,4712
189,1129
190,2963
191,2890
192,4891
193,2831
194,1093
195,2337
196,3895
197,2608
198,1337
199,3188
200,591
201,3540
202,4947
203,1072
204,268
205,1790
206,3336
207,2650
208,1698
209,1630
210,3190
211,29
212,4872
213,1521
214,1581
215,4191
216,295
217,27
218,3494
219,961
220,2574
221,2032
222,642
223,3321
224,432
225,4697
226,2378
227,3749
228,1891
229,801
230,4862
231,332
232,4238
233,4197
234,4994
235,2834
236,1237
237,3376
238,1805
239,2785
240,3248
241,41
242,4501
243,2076
244,620
245,1163
246,3634
247,4436
248,3539
249,189
250,361
251,931
252,668
253,759
254,3287
255,4781
256,1780
257,195
258,4220
259,2235
260,1499
261,828
262,3080
263,630
264,4296
265,3926
266,4989
267,3293
268,4082
269,457
270,1879
271,4492
272,4684
273,217
274,4361
275,2168
276,486
277,829
278,2368
279,3507
280,683
281,1383
282,2354
283,2786
284,4479
285,1444
286,2753
287,2701
288,1874
289,446
290,3546
291,1368
292,4673
293,4703
294,1472
295,4288
296,1728
297,3800
298,2274
299,2653
300,237
301,2211
302,4332
303,2029
304,2581
305,729
306,4278
307,4351
308,1693
309,113
310,3563
311,3292
312,2302
313,995
314,4027
315,4951
316,1595
317,212
318,872
319,1651
320,929
321,874
322,990
323,2381
324,4848
325,3764
326,3256
327,164
328,2189
329,2083
330,2222
331,4720
332,4414
333,1650
334,3641
335,2630
336,515
337,1535
338,1853
339,1963
340,4867
341,3453
342,4134
343,3941
344,2628
345,107
346,2783
347,3502
348,4331
349,615
350,1228
351,4370
352,2020
353,2705
354,2512
355,951
356,665
357,575
358,2669
359,1447
360,4228
361,4679
362,613
363,2200
364,3345
365,589
366,1866
367,176
368,3084
369,331
370,790
371,3686
372,121
373,3515
374,1493
375,860
376,1517
377,771
378,3000
379,1463
380,2826
381,241
382,4888
383,3740
384,403
385,250
386,1589
387,1718
388,3341
389,2748
390,4717
391,2484
392,1084
393,1818
394,3532
395,947
396,411
397,1327
398,2815
399,3956
400,4557
401,3617
402,775
403,3576
404,1464
405,4520
406,3997
407,4045
408,4287
409,2703
410,987
411,2013
412,442
413,917
414,2236
415,2740
416,4513
417,2519
418,337
419,3842
420,600
421,1696
422,868
423,319
424,1307
425,2090
426,1478
427,2494
428,4216
429,3411
430,821
431,469
432,844
433,524
434,1736
435,651
436,2342
437,1056
438,173
439,555
440,48
441,2266
442,2728
443,641
444,3846
445,4461
446,2959
447,1067
448,4129
449,731
450,2410
451,2237
452,949
453,1352
454,1016
455,4836
456,2797
457,3436
458,4299
459,3302
460,1288
461,599
462,2478
463,4419
464,1558
465,690
466,4767
467,3252
468,1134
469,4957
470,2199
471,3951
472,594
473,2474
474,2906
475,3083
476,1299
477,4471
478,4079
479,504
480,2285
481,2298
482,2546
483,2617
484,3363
485,3388
486,2585
487,4666
488,4818
489,2816
490,715
491,3684
492,4877
493,3865
494,1344
495,525
496,4809
497,1835
498,162
499,972
500,1524
501,3475
502,532
503,1088
504,1546
505,3965
506,1106
507,4031
508,4187
509,1269
510,3324
511,453
512,4425
513,2181
514,4645
515,4037
516,101
517,4668
518,4737
519,3574
520,1997
521,4601
522,1844
523,2028
524,725
525,3889
526,4344
527,4034
528,3410
529,3191
530,472
531,4706
532,4756
533,477
534,585
535,4945
536,1816
537,669
538,735
539,3517
540,78
541,86
542,3685
543,1319
544,1597
545,4008
546,3267
547,814
548,1570
549,1507
550,1647
551,4120
552,222
553,1438
554,3045
555,3618
556,1360
557,3924
558,3005
559,4030
560,998
561,4873
562,2019
563,502
564,2258
565,3010
566,1878
567,734
568,4097
569,1133
570,2388
571,4295
572,1919
573,2847
574,4424
575,879
576,4672
577,724
578,1357
579,2624
580,4149
581,758
582,681
583,1410
584,382
585,4378
586,2218
587,2931
588,4433
589,3970
590,3214
591,663
592,1808
593,1948
594,3377
595,3333
596,1901
597,901
598,854
599,1955
600,1497
601,1389
602,4790
603,2326
604,4687
605,3856
606,409
607,1316
608,400
609,1101
610,899
611,3647
612,1594
613,2974
614,851
615,3608
616,687
617,3928
618,215
619,4535
620,909
621,3227
622,3735
623,26
624,3977
625,313
626,3690
627,1257
628,1068
629,1033
630,236
631,4408
632,550
633,2154
634,1121
635,1258
636,4547
637,938
638,2934
639,1504
640,2586
641,4838
642,2321
643,187
644,4277
645,4196
646,3587
647,1219
648,4066
649,4427
650,4596
651,4372
652,1991
653,1059
654,1811
655,192
656,3066
657,2690
658,4881
659,618
660,1332
661,2454
662,396
663,4653
664,573
665,3661
666,903
667,3225
668,1102
669,4652
670,1004
671,1995
672,4635
673,4552
674,1062
675,3245
676,3752
677,797
678,1644
679,387
680,1928
681,2660
682,4894
683,2810
684,716
685,2872
686,569
687,3171
688,2735
689,3771
690,3944
691,1277
692,2865
693,3773
694,4509
695,3258
696,4901
697,2827
698,1846
699,1619
700,2981
701,3652
702,2613
703,796
704,2141
705,2008
706,2582
707,543
708,4928
709,4180
710,2631
711,4938
712,1433
713,1355
714,325
715,4654
716,4558
717,702
718,3569
719,206
720,2033
721,4072
722,4064
723,2394
724,40
725,1646
726,743
727,722
728,2892
729,4643
730,1983
731,799
732,4719
733,2957
734,1452
735,4777
736,1528
737,249
738,323
739,87
740,705
741,3068
742,180
743,916
744,800
745,233
746,4148
747,4647
748,4056
749,3040
750,4112
751,783
752,839
753,135
754,798
755,2119
756,145
757,58
758,2930
759,3706
760,3127
761,2713
762,4237
763,3085
764,1877
765,1834
766,4950
767,3490
768,3820
769,4646
770,3177
771,2289
772,2457
773,3053
774,2182
775,4616
776,963
777,4042
778,287
779,1003
780,4266
781,71
782,224
783,2464
784,3220
785,2953
786,2062
787,142
788,1543
789,2691
790,2281
791,3583
792,3674
793,1946
794,470
795,2455
796,2165
797,1087
798,527
799,4122
800,1739
801,298
802,2283
803,3344
804,915
805,4379
806,395
807,4740
808,3999
809,3420
810,3288
811,3847
812,3875
813,4716
814,2991
815,1692
816,4773
817,2685
818,1897
819,4459
820,1555
821,2842
822,3986
823,4478
824,462
825,2538
826,357
827,3881
828,2805
829,1041
830,991
831,3835
832,4087
833,45
834,2583
835,2714
836,2112
837,3128
838,2238
839,39
840,4291
841,2928
842,3216
843,2652
844,2408
845,4845
846,4534
847,3573
848,1771
849,4632
850,577
851,4948
852,2317
853,3210
854,2157
855,4833
856,4321
857,2780
858,416
859,2377
860,2784
861,685
862,4861
863,4964
864,4996
865,1618
866,1734
867,343
868,1702
869,4549
870,4500
871,4722
872,1445
873,984
874,3940
875,251
876,2477
877,3118
878,2448
879,1793
880,3505
881,2003
882,1132
883,1888
884,2465
885,3935
886,2855
887,1388
888,1213
889,2447
890,2221
891,4940
892,760
893,4229
894,4188
895,1423
896,3027
897,2434
898,727
899,1245
900,4357
901,994
902,2444
903,2412
904,3667
905,2023
906,3894
907,1168
908,2244
909,2966
910,3295
911,1841
912,2371
913,1920
914,1020
915,2120
916,1573
917,1098
918,1890
919,3513
920,789
921,3224
922,3175
923,878
924,1386
925,3182
926,1323
927,2094
928,1908
929,1180
930,3039
931,3062
932,2482
933,4222
934,255
935,2145
936,4226
937,4868
938,581
939,2920
940,1675
941,4572
942,4796
943,4914
944,2026
945,4545
946,2557
947,193
948,710
949,707
950,32
951,4484
952,1631
953,2245
954,3218
955,3818
956,3610
957,686
958,4890
959,3180
960,4943
961,559
962,2126
963,258
964,2634
965,732
966,4780
967,4324
968,3476
969,2138
970,4630
971,4661
972,2828
973,4426
974,2485
975,723
976,1176
977,2095
978,2215
979,3530
980,2848
981,4255
982,2824
983,2841
984,326
985,611
986,2166
987,68
988,3700
989,1713
990,2155
991,767
992,3794
993,4108
994,691
995,3998
996,4832
997,3724
998,919
999,118
1000,2291
1001,2480
1002,3322
1003,261
1004,1135
1005,3604
1006,407
1007,2453
1008,2939
1009,3898
1010,3983
1011,4807
1012,3048
1013,1889
1014,3328
1015,3713
1016,85
1017,2475
1018,4407
1019,568
1020,1310
1021,896
1022,3273
1023,1578
1024,4553
1025,4789
1026,2011
1027,1166
1028,4396
1029,1680
1030,349
1031,4058
1032,3985
1033,4992
1034,2430
1035,4418
1036,1233
1037,2899
1038,748
1039,2000
1040,1715
1041,3037
1042,1080
1043,4153
1044,914
1045,3892
1046,4609
1047,4218
1048,2128
1049,2611
1050,3715
1051,2790
1052,787
1053,75
1054,2422
1055,4318
1056,926
1057,341
1058,2950
1059,2598
1060,4067
1061,350
1062,1432
1063,2686
1064,3211
1065,3035
1066,153
1067,1347
1068,2150
1069,4884
1070,3121
1071,1057
1072,131
1073,4387
1074,2068
1075,772
1076,1913
1077,219
