IdR,IdM
1418,1388
2863,2479
1344,1817
2492,4410
2146,2183
1324,4590
3598,1491
2894,422
607,3991
2533,496
3147,2796
2805,3206
2426,2620
2665,4123
151,3451
2655,841
1947,2666
899,659
3604,2812
2265,4946
3706,69
2502,2724
4532,914
1497,1874
707,2936
1692,856
191,1766
2121,41
2308,662
4708,2678
1447,4663
3368,1992
2954,3672
4694,3621
1992,1313
49,4782
1949,2646
4449,4607
2113,2011
675,1333
1628,1040
1343,3778
637,4121
3332,4205
4279,1939
3715,3282
738,716
4079,711
2787,3069
1326,4862
4876,3897
435,2539
1304,2319
3819,3128
769,4341
339,1160
2371,433
2650,857
1727,1754
3752,2681
1914,1358
3623,300
3592,81
3660,94
2692,801
3148,2544
1964,2683
2972,617
4656,1007
2711,3671
2704,3626
1534,1738
2421,3321
3863,3539
299,3587
431,4970
4743,3017
512,4638
318,1703
4207,4895
523,4597
720,2970
150,2503
3939,101
871,1329
4785,2556
163,3888
266,1586
1285,3631
349,2604
856,3905
829,1681
4428,3091
3725,2764
609,3976
1861,3986
495,893
4825,792
666,3212
235,1134
431,4003
4529,4639
2691,3667
4469,1541
3262,370
2564,1221
890,2803
294,3827
3179,2905
4286,12
3141,4722
275,312
4743,445
3321,2658
4891,4521
2455,3259
4035,615
2089,3519
1756,1014
64,4805
2754,1278
3069,2304
3003,1665
4562,362
13,4166
4923,1322
2275,1673
3353,4471
4096,3726
4618,4222
1157,1338
4678,770
2860,2334
3339,3774
6,4676
3423,4471
2150,3277
1212,1211
1072,4813
4900,3344
3827,4983
1215,2991
2548,2891
241,4856
472,814
346,1106
3226,4094
371,4771
2484,3961
547,2809
665,3728
4223,3232
1643,3165
4581,3890
4084,3522
4483,825
2567,3514
2336,840
2657,2922
1757,2704
3583,1862
2625,4164
4901,4209
2740,162
2180,1022
3655,2965
725,2561
945,2200
2658,2057
3519,4918
1916,2449
2591,4648
4910,4334
4629,1865
223,4376
2000,4982
3870,4573
4808,1152
3854,2452
3394,4469
1739,4169
2540,3514
3034,1507
2902,4680
2410,150
4837,3711
413,3131
4669,1238
3723,1581
391,4092
570,379
2761,4704
4489,2750
66,4657
613,1863
3686,2512
769,4580
4662,1428
3896,393
2612,2038
1000,3524
3756,2173
2868,2634
931,3049
1495,4947
3186,4026
4647,1154
2876,3257
1281,3587
4831,4191
1297,4168
3487,86
2146,2187
1327,151
1613,4247
1507,44
3792,1121
2407,2719
1799,4515
175,3140
4767,821
1282,41
1931,2128
4135,4214
4524,1053
215,871
2563,4998
3057,2301
1250,3227
519,2756
4285,4134
4823,3741
2145,328
4805,2077
4509,3552
373,4985
818,2202
4044,388
624,3158
866,1823
4727,2388
4846,2536
3915,2375
2456,1354
3993,417
3137,658
1623,3343
2344,3764
2712,4978
204,1542
3629,2754
391,4643
3683,1361
2583,3854
1712,2329
1236,1268
1893,1152
2248,2609
2866,731
4515,1709
1078,1527
2655,242
4292,1805
4791,3143
832,4209
2397,3791
216,2387
1967,3873
3150,4195
3725,2488
3187,61
4640,2618
3252,79
4661,4405
2229,4542
3941,4295
896,4994
3606,255
692,1839
2292,1029
3527,3825
3647,3149
295,4078
3641,2328
2928,3078
4952,3044
3243,2459
2925,1812
883,116
3577,973
3841,165
1811,2836
3017,1971
2747,2177
2231,3713
4489,3925
3102,2154
2841,679
989,3359
3997,1979
1767,4744
3729,893
562,381
2609,1790
232,2022
1228,3213
3688,2086
3857,1016
3958,2078
3904,893
4331,2256
650,1130
4833,587
3139,1138
2863,3802
1797,63
1321,3323
142,2349
1482,424
518,2075
2586,3984
3829,2797
3700,1864
244,4663
1531,2220
4033,185
1760,79
4685,4312
2451,3770
1463,4931
111,4018
3438,1202
279,1699
4226,3293
4939,4462
951,4151
1183,3930
1277,1975
3660,3702
4056,4006
1088,831
2495,526
425,4964
4954,2955
3106,1099
1958,4700
806,599
3820,1611
1628,1983
137,2162
1412,2000
4944,693
62,1654
3757,4684
3507,217
2904,3896
3793,1069
2795,4343
2646,3443
3292,3678
3376,2332
1788,223
770,2595
3314,4644
4848,3860
3159,2017
316,3430
4687,3350
2712,42
1917,2566
664,3806
2429,2721
1294,3300
2474,1940
640,3783
2664,3362
1362,3686
1898,1175
3521,1581
3256,4078
3972,1114
112,3730
920,1699
1764,4218
164,3912
2172,3403
4137,517
3535,258
2384,1883
2574,4211
3468,1438
3077,1214
1160,3305
4184,2543
1769,1338
3793,4915
4880,728
1461,1906
2928,1456
1079,1873
4782,4183
3973,2955
2565,1537
779,1282
2720,1706
60,4507
3998,3867
4921,4842
3785,1131
1699,4369
3852,4281
3403,4544
2168,2380
3174,3046
2534,2022
3699,1535
1818,4369
834,474
1991,2566
4897,4007
3803,1670
4456,290
3549,3566
1800,3027
515,3444
3194,1385
2199,1513
1413,2749
1538,65
3737,903
2284,1003
146,3103
4899,1913
1399,4940
4642,1696
890,2564
1597,4644
3448,3794
129,1941
1301,326
2571,4243
709,2925
1951,4561
2630,1370
515,3206
4981,3902
3455,775
2287,449
2369,3395
97,4614
617,2705
1071,2616
4240,973
2801,929
4494,1233
2118,3627
1275,4841
2969,2176
371,992
2596,2380
3790,2378
3405,1995
1013,3475
2275,4788
775,230
3468,2191
4155,217
2751,1312
293,2516
1233,2930
691,638
1115,98
481,4408
116,1003
4870,3680
3868,204
2470,2259
2450,1639
3633,4810
1853,1812
1807,214
1415,3789
2989,3039
2279,246
842,4014
2147,504
2692,1277
3672,163
1170,1437
1535,4707
4035,1485
3114,2983
3865,2164
1631,3370
3193,4662
1794,3631
2902,1955
3650,3021
3544,978
3158,2217
3845,930
860,3966
1378,4985
4514,3924
2186,1502
414,1571
561,1747
2272,1393
865,3857
4066,1481
1614,3545
2105,4034
469,1021
1668,1422
528,349
2845,459
1367,2941
4075,2141
2330,2440
2734,4530
448,740
614,2841
3202,3929
2847,1307
3616,4141
2398,3430
3942,960
3140,2352
443,2147
3050,157
543,814
1626,4266
2472,3486
912,66
3496,2119
1427,870
4115,1246
3124,2066
2200,4433
2532,1006
1055,3634
2423,4769
2983,411
475,4343
2932,1026
2993,3182
1087,4131
3886,2110
3958,3579
824,2647
1104,3469
2270,4283
3883,1517
1268,385
