IdClub,IdO,IdO_parent
1,3931,4745
2,1101,
3,4185,758
4,3681,
5,4658,1570
6,4974,2710
7,540,1308
8,816,2570
9,1729,4176
10,2688,169
11,2359,
12,1568,3294
13,421,4986
14,4818,3473
15,2836,3542
16,4906,1600
17,3945,3055
18,4721,1876
19,4579,796
20,1565,4642
21,4241,
22,1798,3424
23,4438,3345
24,2306,2285
25,4807,3311
26,1365,4533
27,4392,4077
28,4035,
29,3584,2705
30,3064,
31,3814,2203
32,1124,
33,4015,2500
34,3230,3020
35,4870,2226
36,3669,1077
37,3373,4653
38,3536,2924
39,264,
40,2534,18
41,2531,
42,2461,1937
43,3449,
44,971,4798
45,3980,1064
46,4112,35
47,1186,4070
48,3658,
49,205,2473
50,4016,4706
51,1846,2108
52,871,
53,2147,3027
54,3898,2128
55,1636,
56,3538,844
57,3231,
58,1516,796
59,59,3668
60,3046,3426
61,4305,3425
62,4671,1653
63,1001,
64,1500,
65,3751,273
66,933,
67,577,1686
68,3233,
69,4867,
70,4858,4503
71,2550,
72,3324,3290
73,4003,
74,4232,557
75,262,2227
76,217,2714
77,1319,2693
78,826,4512
79,4159,4636
80,4995,1246
81,2508,2285
82,2865,
83,4834,1174
84,3581,3469
85,3170,2171
86,2780,3863
87,1634,2963
88,3981,
89,82,4095
90,2685,1349
91,896,3020
92,1521,2855
93,596,1182
94,1061,3774
95,4828,
96,1123,453
97,4338,
98,4260,
99,3035,453
100,3524,
101,3780,
102,4690,3200
103,1312,
104,792,4837
105,3368,
106,415,2693
107,833,182
108,2099,
109,3442,3081
110,1118,780
111,1758,1555
112,1275,200
113,972,453
114,4004,
115,92,1357
116,4950,690
117,181,138
118,4681,2211
119,3125,3982
120,4539,
121,3930,102
122,1991,874
123,1497,2205
124,1154,1819
125,2011,4706
126,1096,3919
127,172,4653
128,363,4307
129,701,1285
130,1142,1387
131,159,2203
132,4602,
133,4109,690
134,3474,2570
135,4484,2472
136,3506,1707
137,2463,
138,3701,
139,1615,3863
140,3408,780
141,4129,2171
142,1529,3641
143,3521,
144,1692,2602
145,3227,922
146,612,1937
147,4261,2897
148,829,1779
149,1540,4804
150,4865,3992
151,2205,
152,182,15
153,1090,2202
154,4115,3294
155,2669,4670
156,529,3641
157,2597,
158,4525,2604
159,1401,1349
160,3439,
161,2440,1064
162,4285,3111
163,4442,1410
164,2575,3911
165,855,2050
166,1442,3144
167,4958,
168,1806,4070
169,1553,
170,449,1025
171,1382,1639
172,4889,2701
173,1767,2221
174,1345,4983
175,900,1642
176,1735,858
177,1551,143
178,1014,495
179,60,3281
180,3741,4653
181,606,
182,3383,4933
183,3272,4869
184,33,1547
185,2720,1308
186,4536,
187,299,4798
188,2402,1251
189,4203,4973
190,86,4333
191,4053,4533
192,721,
193,3399,2178
194,4252,1129
195,2993,3596
196,2885,4673
197,4609,
198,90,15
199,2887,
200,2771,
201,4262,4445
202,2194,2476
203,2485,1639
204,3475,389
205,2219,3623
206,4223,4973
207,2377,2604
208,2460,439
209,2668,557
210,1764,3366
211,4137,965
212,1183,4746
213,4095,169
214,1257,4288
215,4927,1665
216,347,
217,4373,2324
218,2134,
219,1023,
220,252,15
221,536,3425
222,458,4333
223,1416,895
224,3352,
225,1366,3672
226,3338,3561
227,3632,512
228,2544,
229,719,2375
230,2482,4670
231,2494,1525
232,49,312
233,2773,2710
234,4385,4576
235,4600,1487
236,2243,2227
237,4716,3677
238,4121,
239,1831,4151
240,4715,1116
241,4202,1402
242,4445,3147
243,2157,1077
244,2101,571
245,3954,
246,4569,
247,1715,1285
248,4096,1033
249,26,3726
250,4909,2863
251,3604,
252,527,2224
253,3137,2140
254,3303,1999
255,2066,2058
