IdM,IdE
3231,3185
4879,4901
4667,1701
924,1395
257,886
713,4672
2816,248
589,3920
1785,1883
3829,1101
1163,1121
3974,3777
3902,4228
2551,1587
578,2063
770,4920
3830,1715
1427,3887
937,4663
2258,131
444,4969
3230,9
990,1592
3599,1020
4589,1501
3976,426
2603,4663
4067,3102
2935,3284
493,3960
4996,53
3935,2371
3447,1730
819,1233
2564,4372
391,3669
1658,2593
2061,1351
3215,693
337,1194
4866,4381
2916,3411
2469,2524
1320,993
3448,3018
2239,2380
3891,4160
2674,770
2832,3684
2259,3931
1702,4256
3202,2345
4330,3618
492,2376
309,833
3262,1983
796,808
4743,175
18,1711
2188,695
851,4253
2526,737
4280,4534
782,1265
457,2204
690,4162
350,4487
4476,190
3592,491
206,2799
3090,4745
1758,3371
421,861
2284,2038
4482,4070
3528,1035
3068,1940
3652,3751
313,2042
2947,3794
493,1516
1152,4908
428,867
2985,2911
368,270
291,963
4006,1570
3543,4673
416,4218
3592,2402
2475,284
352,1486
795,1636
4332,1924
2501,286
1041,4268
3678,4964
4406,467
1902,2160
2410,1420
3491,793
1971,2597
1018,4478
400,2762
3646,221
4037,2324
3455,2430
3376,234
387,2011
986,785
2166,3781
3363,219
965,626
3766,102
3407,3755
4453,3979
4922,220
2288,14
2025,3184
2559,4591
4734,3551
2361,1970
103,59
2721,3389
151,3018
4329,3152
1507,526
2130,4674
2419,725
4923,213
2136,2771
2162,3766
1935,3874
4326,815
2814,1656
4321,2112
2592,2307
1495,2017
2015,2218
3322,2107
2181,4964
302,3230
4644,3639
1359,4905
1646,913
4370,4391
2554,3364
3518,3729
68,1504
4412,3375
4548,1768
1616,2125
409,782
1692,2262
2164,740
2416,2208
4889,940
4183,1838
4307,3961
1549,4052
3884,4555
4747,2987
4784,315
4138,2144
1579,551
2241,870
1039,2963
3294,1898
152,607
4908,4136
63,1430
4406,2983
1453,3954
2474,4262
301,2105
4593,2230
20,3340
3869,4874
1505,4057
3269,4409
1634,1114
3631,263
166,3758
1816,103
2148,4283
4997,112
4000,2970
4281,3410
2862,1061
1809,3691
1550,334
4063,2585
349,2435
3219,803
2088,4974
4659,4629
703,2313
1565,1856
1708,1368
3502,3505
2371,4873
1316,513
3654,1309
2296,509
2756,4976
2293,2301
347,268
1920,3644
439,273
733,2474
3034,47
905,1740
4530,4534
483,2074
815,4681
1604,2274
2660,2570
4997,2560
329,853
1170,4856
3507,3990
2148,1841
3519,4683
3106,1732
3430,3054
1574,2410
256,696
3286,1570
1792,3611
4495,1221
174,2902
687,4205
1284,3184
4206,4190
1116,1491
3608,1306
3056,1197
2697,2842
1148,4484
2861,412
374,1063
2475,35
87,4209
404,2854
1930,525
1917,2012
2826,810
3981,2848
4405,1075
1272,698
427,3786
4372,2930
156,3274
2178,4950
3854,1223
3809,3203
4771,2665
3708,2038
2492,1338
711,1609
3219,2821
4803,2385
4413,4250
3905,4710
3505,4251
2417,3332
4240,895
3696,3650
573,4592
1637,1548
3067,3781
4175,717
251,1812
3617,2829
4123,4887
2690,3422
2498,2979
1475,2532
2294,595
2866,1827
3716,4202
1278,619
2722,1602
2999,3020
4032,32
2131,1828
1019,1125
3244,1708
3949,3069
3676,1444
3079,1368
3521,2219
329,4182
1653,628
436,3990
1777,1772
1013,4298
4448,1669
3957,3663
4377,2248
1556,2036
2152,2753
1843,788
1303,3016
2527,127
3837,3401
2080,1063
4388,1974
2507,4071
1145,3812
701,797
1152,2197
3077,270
3944,4985
545,381
2112,3220
4847,3297
4965,1621
4249,1121
3955,2723
776,3763
975,395
1660,2348
4891,1286
3678,2045
490,3666
1543,4808
3440,4740
3537,3883
1204,4927
998,1975
843,4840
2968,2064
3260,3281
2835,2382
3994,1024
4742,771
3595,3640
495,4511
4612,1507
3674,1445
663,2173
227,3830
3647,4340
983,325
181,2620
2915,4329
2838,4522
1256,4143
731,4686
3558,4525
3735,4961
3852,675
4205,1146
2316,4341
3699,2440
4424,440
785,1563
430,1847
805,2091
950,3715
1269,599
1767,3246
1672,687
2577,1541
1539,4988
3992,1917
3330,1377
1076,3717
2077,300
2761,1708
4219,2849
464,2268
3282,4318
4162,2142
3437,2510
2702,755
515,1667
4457,1872
3109,1016
3657,2511
2333,3900
3258,411
4429,4245
4637,3037
2307,3993
941,2821
334,2068
4925,3458
709,3117
2678,4348
4453,1688
4142,3511
51,2530
2892,267
3054,3023
2097,2701
1058,4799
2301,2643
2931,2775
2936,3071
4230,3789
1365,3396
127,4947
4120,3392
2143,4221
1773,4972
1807,3849
545,4762
2629,1289
2309,225
742,2229
457,238
491,2084
1851,232
325,2014
2223,2499
2116,702
1247,2059
4051,3431
2709,3530
2626,2167
4556,1718
804,3380
521,950
1326,4789
1180,2249
2569,2983
512,2084
4661,1221
4978,3094
295,7
1202,4899
4505,3346
1959,2953
2035,91
4119,2370
3656,3324
1967,2601
4779,1605
1941,1554
1114,4671
2219,866
1356,1735
1442,353
285,4908
3486,2702
3673,4784
4868,4186
2624,185
4330,4962
3186,3089
2469,3299
4286,2581
4553,3683
3,1041
4201,2079
3975,1339
3759,1087
987,1379
2362,599
3204,4704
2104,3775
4614,2246
62,3904
2912,839
4548,3753
3996,1210
3301,2606
3224,4092
2176,551
4924,1103
3588,3637
3101,3645
26,3091
2819,2650
68,4572
1635,469
4263,1296
1421,511
3411,1978
4225,3724
2538,2247
4278,2724
1531,1906
1178,445
661,3084
2722,751
2905,4194
4882,4998
2380,1264
2520,31
2207,1950
3258,66
1558,2358
3307,1597
203,1783
269,4219
682,4661
3442,3309
4121,633
1640,2604
4757,2032
107,2075
1458,4831
4507,1322
3494,1150
2411,4088
201,2775
11,3389
3061,2355
4839,3204
984,770
2016,4734
2195,2812
434,4594
4929,2066
1267,2126
94,4565
712,3077
3959,3787
2204,1952
1090,578
185,4870
2023,1055
1763,2897
4246,3768
4261,1477
2988,2135
1883,4106
2345,705
268,2828
2401,109
215,3650
4896,4130
4974,4807
3824,696
4508,1606
1989,3625
1690,4792
3847,3941
1754,1543
1623,2452
1880,621
4369,4972
2494,3818
2486,465
4098,3677
2928,163
1499,1544
3530,2653
2477,1343
2008,1571
417,623
130,1343
1209,4234
2837,271
4525,3350
2516,95
3681,242
3433,1215
1001,201
1778,794
3761,3643
3516,1151
312,2631
3038,2656
1382,2420
1861,1977
2602,3691
686,4307
1437,955
486,2017
406,650
3452,4434
1779,2068
3700,2599
3347,777
1280,1191
4657,3908
966,4930
3429,1427
3419,727
3228,3015
3942,3489
2603,1394
1867,3654
3695,3041
3575,3805
2808,2460
2144,2298
114,2771
4238,4625
1871,232
4950,1973
1459,129
3859,2226
3150,2038
75,4421
3926,2430
617,4544
2143,1201
1888,1038
1610,2806
378,1714
3546,1310
974,893
1852,3250
3243,2466
1455,3454
2797,1962
4447,3274
2924,590
2373,4162
4845,4625
2371,2283
1547,4177
3985,2516
1307,2548
2962,2103
2923,1628
251,4957
566,342
1532,1660
4850,1915
4570,3848
3569,1654
365,4100
3908,2852
1967,2895
39,3002
102,161
3567,4284
4898,860
1506,1356
1985,4986
3961,4314
1135,2186
2338,2364
4928,2330
185,1472
3345,4149
2032,4363
645,1450
437,1759
2552,1067
2743,894
4383,429
1098,195
4993,2110
3785,3444
182,4778
1238,3326
3369,1936
153,5
84,3766
839,6
3757,2005
1101,4021
2392,3757
376,3267
1024,4886
4170,2023
2483,2793
1653,1362
4094,640
159,4998
4887,1909
2906,1104
2243,3301
790,4269
2743,2330
2258,1310
2546,2898
1167,520
2114,3847
1813,3437
4094,1564
1141,422
3013,2820
226,4318
1674,4577
3599,4917
2754,87
1554,2723
1461,2487
3257,558
2714,39
2443,497
3648,4041
255,59
2185,245
4901,1049
4198,2316
711,986
4927,1340
1041,2863
4688,2337
4463,984
980,1511
3182,1213
2808,1278
1496,1454
335,951
724,2221
1200,1748
1153,688
1493,2574
4305,493
4679,110
1985,4356
4709,1265
1285,2594
4069,3860
1685,2773
1517,2842
3774,1432
2484,2663
2742,1062
4830,2570
520,3276
33,3243
849,3094
3928,3966
4523,57
4157,719
3304,1741
4692,727
382,1003
2994,1246
4670,2060
4723,2591
2910,2414
4977,4409
1660,2685
4390,956
3338,3754
661,88
1222,3101
3436,177
4339,4061
4918,3487
1543,3149
4704,2756
2913,1927
763,1253
4723,3582
3094,2206
2877,2287
4811,1359
514,898
3930,1337
3943,3573
4520,3744
3562,1348
3764,814
3982,3620
3644,1113
4769,4220
4023,3079
54,1596
1551,911
183,923
529,4466
4237,760
3032,1562
146,966
506,1805
4928,1521
1137,1457
4354,1051
2946,913
4192,3462
704,1279
2027,4294
4238,3861
4891,3667
3514,2782
1713,3778
3667,4432
4554,2064
11,58
4716,1519
3783,3955
4382,3181
1523,4708
8,913
3640,2218
2036,3998
2850,2983
3157,1943
3004,4141
3321,1364
130,818
575,1963
29,151
4843,2112
4537,4944
982,1865
101,4685
555,409
4684,3621
2564,2563
875,2714
4391,1113
1692,3013
4832,4722
3957,2962
1467,2108
1948,1707
3741,4517
4341,4829
688,3460
1652,3628
1576,1172
1456,632
1247,1856
2629,1850
2564,3149
2283,1293
2607,4305
735,491
3400,1070
2012,190
3963,4157
1753,2070
3410,1831
1916,1882
222,4849
246,4172
4986,4570
2622,4270
679,1248
95,2054
2074,1857
3114,4424
767,3443
4977,1296
2389,65
273,227
1747,149
1838,64
1180,397
96,442
978,503
2056,1546
2016,4259
4204,954
4391,2928
1983,1341
652,2238
253,2405
2514,3266
1913,4185
4140,3224
1622,4252
1706,3856
3327,2659
4228,1153
3621,2442
1946,2225
2298,3959
1236,1391
4785,3168
3010,4981
4195,340
154,3014
3748,1619
1484,4461
10,1809
1028,3285
982,3982
2448,2872
139,976
1051,4873
336,4980
4976,4180
2935,4715
4082,1681
1588,2052
521,4277
3254,4374
3424,4674
3403,1515
2443,2382
348,4809
2908,3199
3166,3548
3373,1130
3039,3947
3462,3410
4112,3365
1508,931
773,3843
2482,2880
3012,4125
2759,4930
3097,1013
1300,4147
893,1751
3891,2793
4588,3863
2838,1687
168,2694
1439,1314
2043,4882
3390,4242
323,1521
1400,4227
3345,3753
4193,2363
1726,1057
1369,447
3996,3539
3376,2525
2021,3203
4977,1546
2902,4247
4,1015
4147,989
2521,2727
2102,1439
4605,2867
602,2428
2793,3877
3729,3342
2429,3599
216,878
3880,4823
2232,2020
1730,4368
3953,3764
582,1298
910,2338
590,1551
2184,2351
3606,1366
942,1034
3205,4408
423,3817
3463,1726
1067,1908
21,3156
3733,2830
1214,2542
3622,2459
489,1627
4154,828
1478,659
3425,1577
3732,390
3717,2063
3440,3544
2464,1902
108,2525
1340,426
3571,1836
4819,2966
3337,1453
1631,513
1111,1238
1294,121
265,4849
775,632
4429,1411
2041,712
3802,3334
40,504
651,1795
3411,4884
4606,3221
2748,3471
2407,2106
3360,363
2897,959
4320,303
159,3162
2,533
4843,3059
1818,510
3454,4928
344,2695
1936,1012
4158,1993
4624,1470
2462,368
4536,3593
3767,1711
3950,2730
1758,1663
4412,313
3385,1750
4354,555
2275,3343
1623,3962
3243,2936
4168,3903
973,1236
4361,3906
219,2769
3182,1329
3246,1818
1245,4284
1404,4736
2462,726
3103,3539
185,4470
1849,3899
2046,1206
3063,4058
2218,574
1517,3182
3817,4594
3861,404
3949,3769
2445,409
3138,1554
4900,169
4582,626
4382,762
4857,2957
236,2881
1122,1375
2539,2919
2683,2988
4737,2926
3678,1373
3782,3442
1792,4726
2989,4477
4489,521
2066,3972
4442,1392
4341,3622
1117,27
4223,849
3538,4494
4100,1849
3015,4749
635,1686
1343,4000
328,2060
4837,1322
2290,200
2756,4783
2335,1054
1718,286
772,4071
4382,4847
3832,46
4746,4431
2558,2443
4953,2566
1427,4593
2422,1014
4469,60
2800,3726
2306,4629
1801,887
490,2236
1147,4376
2524,1432
4448,2812
4325,3658
1126,3571
741,4227
2176,4299
1745,2059
4872,4566
871,1343
605,4266
3850,2494
3199,4485
3193,1569
4737,1886
697,2599
1811,2224
4764,1159
1794,4031
1974,2055
3203,958
2082,4170
3558,2957
969,3862
4204,1901
2584,3262
1379,2775
2364,3371
4364,273
1557,3478
2802,374
4054,2581
1666,1401
4779,4351
4145,3524
1646,1023
14,2581
1830,2201
840,566
1063,2385
962,4672
3055,94
1077,2728
3224,1414
1573,92
2968,1326
4861,332
1507,3340
3592,721
4214,3419
58,418
798,1353
843,412
2622,922
4969,4048
3842,4466
3512,2065
1610,4110
1321,23
4401,3913
2447,4660
1249,839
742,2911
3449,4864
4185,190
4565,4400
1269,1730
1448,1231
2169,1701
2471,2313
4675,1371
1762,1615
2144,3869
2166,1998
2654,4135
4746,2133
4093,2650
3047,1113
561,4447
3902,4790
704,846
2516,2935
3253,1912
486,2894
2026,3634
427,133
220,4527
1715,4427
3019,527
4687,1092
4084,3941
4849,857
18,4170
500,2032
317,3586
4177,1863
1622,2978
4106,863
2409,3665
3448,4109
2652,4959
4700,2545
4478,1437
810,3565
2734,4406
4982,4420
601,3275
1401,2861
2536,1727
1800,791
4602,1935
4533,2760
2934,994
3856,1865
2206,1692
622,957
1279,3113
3460,369
2711,2463
689,4806
675,3365
4928,3604
1237,1086
4072,1512
4569,583
1640,1761
2186,3701
1071,2195
2855,1755
4980,390
362,1545
4076,1225
3733,3122
901,2258
2253,3941
519,2263
4536,3454
2054,25
4660,2946
4179,1918
2784,1874
4797,1132
3574,3693
723,4565
2503,1242
3401,1048
3604,2835
1757,4690
4601,2736
266,1771
2095,3630
4625,1156
2184,4109
1560,465
1819,3732
2694,4951
4427,1788
2968,1570
6,511
1166,3679
3419,4802
4380,3150
4923,2342
1507,1350
2377,4424
2740,1655
2080,301
666,152
1268,2372
4077,747
2140,3164
3509,2144
1816,2649
1035,4494
4029,3269
61,4453
595,3006
3678,1222
4518,2460
4359,2371
3201,850
4902,3031
4417,3273
3644,797
1984,1433
3942,300
3854,3934
3416,1313
2326,3597
43,1502
1234,2340
746,1963
3782,2491
1626,3765
1291,2734
2991,3013
2244,4484
2835,306
4139,3373
4903,1675
4019,258
3508,2419
1411,891
3184,3619
2646,4660
1352,2552
2487,4696
1601,2029
2316,4975
878,1099
1443,653
3756,793
3369,3610
4804,2804
1201,2416
1521,4785
4251,4320
2681,2703
1358,4851
2954,1905
1510,4821
3973,4089
3370,2784
1230,1795
1795,1328
801,281
1759,4235
1173,619
4631,2833
4926,2034
3430,2087
4185,1976
4040,2195
2878,66
2323,2182
1262,3993
589,2631
2210,3330
4198,4513
1549,3762
1640,1554
4932,4450
1983,3387
823,2961
2153,3087
1749,2793
521,1544
3302,2234
1503,2637
3227,1972
2127,3412
978,3537
4961,2049
2022,810
1465,2372
4277,4640
3492,519
3823,1009
2509,4363
2184,418
1069,2406
4423,3893
128,3742
3529,2509
3710,1378
4937,4458
3657,1042
1929,4268
3148,940
3687,3609
3022,434
3465,938
3158,1592
2075,469
563,2696
2803,3755
4012,4923
1987,2230
1871,930
2899,4022
2107,3748
1573,3260
4580,118
531,4368
502,908
1212,1828
4054,2249
4059,60
3392,3366
2645,226
1307,398
1824,2430
1360,3164
3380,3863
2401,3377
3450,2385
22,889
1766,1723
2893,156
904,4628
4676,3728
4763,822
2359,1698
1326,2372
4541,1941
4926,393
3225,17
3568,2627
2788,3296
4281,2596
1725,2040
2641,2578
1855,4295
3477,4330
2210,4373
3612,174
3850,177
1801,4948
4044,1779
2142,4953
1245,1085
1480,3991
3644,4313
2252,2742
1790,1313
4667,997
1204,3545
2105,4683
4437,242
601,663
1977,8
2859,167
4680,4225
2752,2442
3303,1645
1149,3778
495,2866
30,993
1670,4523
2865,4447
776,336
3000,1664
4340,4108
1549,429
4792,4294
1908,3784
1754,64
1450,4430
217,1838
2463,1595
2620,3942
181,1580
1875,1898
1909,4271
158,1914
2145,1290
4600,4850
4863,1925
4720,2516
3347,4479
310,4116
1849,3382
2270,3366
305,1692
4314,2167
2907,75
4243,2947
