CodeMembre,IdO
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
64864,2516
24046,3187
85746,3658
2138,2894
92120,3834
79268,4980
75975,3539
6972,4181
91812,4750
49530,986
9571,1194
80830,1582
16702,3791
13382,3816
92039,1020
30190,2689
37408,3103
30756,212
95671,506
82937,1264
53255,4743
87170,3184
57784,3966
30885,3700
53982,4519
73259,3181
38017,3431
83766,1705
98586,1825
37962,2539
68496,1950
5128,2588
86799,54
41971,2978
70573,1953
46119,4669
51513,1960
59374,2695
72086,3662
60503,659
8491,2682
54467,4094
49504,4626
38488,1856
62959,3049
72108,1334
25807,3066
6497,451
37010,2441
54948,55
98460,3036
26745,1676
87810,1773
61205,1787
67448,1283
44229,1134
60490,2611
6151,3384
31053,2293
40404,2915
93178,1577
52980,205
76793,4194
50168,4715
29762,2975
33993,969
22786,2557
26424,2378
35303,1284
37378,230
26903,2480
63290,1954
99121,4502
71714,707
72230,3894
83514,505
9628,1346
86940,2610
52182,3178
50887,979
26709,571
25636,2869
36654,3502
30549,3984
29786,585
50281,3126
35733,3912
67554,1762
22415,1
78305,700
66705,3092
38445,4135
24661,3951
16085,3699
69029,4128
50979,4218
96740,4142
93705,2949
53304,2093
63309,3922
69107,3387
49317,1574
89017,2538
56684,969
46378,2029
18606,1368
42316,810
42251,2780
46248,4396
2506,1245
18890,4972
36357,204
17849,2491
12690,4949
29959,825
55543,3053
7680,3253
37568,4986
34831,4640
18667,731
91023,1458
48063,946
44970,4117
4207,912
58612,2781
71537,2857
29098,397
29697,4164
17305,243
93200,2511
15864,3220
6583,3957
34352,2246
69348,2946
39187,4831
15770,4868
51073,4707
65332,3398
64124,516
82627,2819
11265,312
48516,3360
50773,4136
8553,70
58976,3273
14601,3860
22898,3960
99666,1346
53266,363
50731,3019
69792,1011
1425,2947
37925,2283
78637,3253
37392,3077
36193,2600
46010,4006
45567,1609
15392,4511
27251,1502
22437,2334
60200,3741
35109,311
49585,1389
75692,1388
39973,4583
94192,1895
49706,3660
26129,962
88407,1571
83273,1709
78783,3584
22402,619
8711,3742
50130,3295
60787,1189
46806,1410
74470,3784
12400,2626
59311,1033
81729,4589
17670,613
58156,3470
31803,1217
92438,1934
30392,842
17305,3930
89548,2426
33927,4328
20230,3421
65803,434
7837,2406
76638,4758
96496,2749
24231,4633
99623,2584
26273,2696
10107,4996
25001,4403
53287,4543
49274,3282
65587,1032
51300,3500
60118,4620
92849,2614
54467,3269
91433,4135
88404,3828
21997,4998
62628,4564
58516,4979
86724,2144
52266,4979
7532,3700
53347,4927
92865,728
58416,3646
95525,2033
87411,4492
68280,4656
53014,4575
47458,4833
47042,2112
7034,3304
92383,3730
85758,4533
57240,1049
71754,4241
57233,3038
84991,2286
99476,584
28761,1611
8912,4822
81778,4252
61787,1558
41072,632
61041,3210
36157,3609
80710,9
68618,3095
41270,4573
14954,2245
14809,4287
97708,3380
79354,1403
81453,848
58005,4626
99290,1865
22173,2589
30344,4074
76178,1049
33086,1060
79997,859
63518,169
7389,1449
89694,4810
6868,1127
69331,3400
9707,2786
48082,3173
29454,4222
18004,3114
41486,2581
91513,2645
33734,4439
28700,2526
48178,1169
43846,3410
3028,4332
48542,1620
89021,777
29363,4186
7324,4168
71459,3488
92447,3256
84733,2306
32302,4238
56127,4477
83627,1602
81522,3021
73090,2304
38949,2500
60023,225
29010,4672
98998,3994
1539,896
8924,3790
4913,4293
10192,1325
59262,2707
69478,2165
84416,2592
13292,1818
19497,2740
56512,4989
30438,4426
78915,2295
62343,4944
53704,2723
61955,4296
83552,2689
96488,463
5784,4288
78719,3658
47340,134
3023,3638
49902,3720
59210,3904
65211,3743
53572,3051
35329,4117
42129,4785
70635,3474
45072,1425
18275,1655
3219,3050
10156,4303
73583,405
93393,1273
39309,2093
65827,4345
23925,26
8383,4256
7963,2820
9330,2645
76745,1611
42113,2402
7755,2033
16976,444
45756,4328
30211,1357
24616,3194
4708,1220
80037,1599
82364,3775
86173,3617
112,419
10887,4321
13482,790
35158,3930
44107,3215
77255,430
2087,559
70985,4189
6909,4562
70355,3099
91519,4041
9561,1521
24135,3359
68894,940
52270,1914
60321,3295
54742,2701
78204,3960
30361,3216
29201,2457
37172,40
28327,293
18128,3852
39554,1086
57561,513
84200,4040
73208,463
12030,2457
29241,3618
5740,3431
75492,4441
78881,3690
4975,659
13933,4001
89029,2748
48934,2187
62592,2117
34002,2417
80308,413
32133,3109
39298,4738
67226,1153
97570,502
64445,1625
42872,4796
69349,1364
20571,4193
2173,1387
78127,4518
47331,3657
66537,4561
15207,4101
47997,1026
38098,72
50291,1522
43982,4649
37964,525
19097,1602
94329,1589
53156,301
49741,2125
927,3850
95173,3870
97905,3660
8968,3536
55467,191
66456,4116
27360,892
