CodeMembre,SIRET
32092,7127686764
51662,8781003747
47576,4543662716
87909,5667303982
10962,7319872567
63865,6543379249
48134,5880189604
72435,7803300148
4039,8468799924
91963,3871488451
41070,4352639753
13259,3091542076
38930,7915940474
83339,9743382924
95281,9942219395
1396,6968393776
15984,5925406917
51924,9105347349
57330,4547358925
16585,5983132359
87895,2732850817
98970,1478851182
12286,1105163166
76666,6216493582
26263,2181883164
17632,3730141649
67396,3951889412
16010,5825085716
15081,4655062503
27707,8108784441
15257,6366859440
68507,8322503608
45142,8837913452
16402,9291414935
26461,3786320206
80810,8119495861
23542,7693183925
72590,9579629946
27462,6780980436
33781,4107710740
58251,1492766707
62349,7041219224
37255,2862120741
29212,1091688710
59715,6587178209
99426,2147384503
64623,4604657573
48173,2893323733
20764,2977527977
63656,2246053584
25866,6191311853
38157,8932077836
72512,3789966231
62877,2838827009
30146,2176939621
33658,6074896495
52633,3331098585
37408,5093227183
97056,8308156800
50769,2959321577
87915,4674130136
21466,4968358057
10322,7320105683
13360,2941083045
10433,3540532381
82099,3785126820
76266,7764098922
15453,8477909008
86382,5202091616
74321,6172889279
64940,3890221797
78317,6430208805
85227,3384623617
56554,8604986546
4338,7575530642
52757,6718126687
31500,3658878895
17740,6339873987
84055,9545277904
35458,3079369428
92225,4933764154
7950,5641860758
27013,5452932009
70778,8085325902
16702,8929551576
61843,1105616025
62754,1322367410
44944,4607358839
88780,8895920043
76298,9410513838
18082,5101977072
46127,6718028671
73182,7486397124
97916,2575799339
23045,2382561997
53712,5506241303
27178,1778015837
30332,8561468802
35319,2470802767
75082,6546654975
52106,6273216209
10135,2143927563
96875,7933607741
60880,1991410713
28122,7414263902
31780,7566932190
11676,6488315171
86551,8505959640
14627,9071452422
91074,7333693535
67577,8128252360
25858,8470072916
20681,4157020498
24405,6112197917
22968,7041219224
20098,8890725377
5391,9123171131
21084,2893323733
86700,2278735627
81749,6257282454
39718,8604452056
87130,6606417298
82597,4412757056
39323,2655669414
82532,4632144953
66476,1012943057
42793,8258762728
91777,6265518435
89388,7141095164
91027,2286570155
53795,2249838465
23011,2849336280
25344,2594917178
15398,4956842927
16934,2278735627
58218,7551021374
12690,8533841028
10817,6371613028
58971,6406921035
70662,9226129994
52167,9230184728
43392,9189095471
25772,7510784973
46090,7393371161
42809,9741057501
71832,6647624751
88742,3457828668
16375,3657976975
30354,6543650373
45195,6012873974
42531,5224689376
59909,3209681569
66412,2787988165
94502,8304697981
25212,3858165498
66330,6968393776
84567,1992354985
73497,4478962080
60315,8699407154
66946,3640956359
37303,6791626949
87701,9253623238
34056,5008146488
82899,1973167738
91370,7643682116
79443,4360730660
2471,8548107512
50743,8424080799
90117,3909213903
91392,3333090748
48822,7328470705
35455,3098829333
42885,6147214543
87499,2016853987
81446,5768420903
15304,7969584469
52503,9740423000
56110,8834893595
74633,7537604248
71658,9685284574
17983,9108600938
92637,5745716877
44102,3054572838
94555,5777505285
87409,9571384761
60915,4131942161
6073,7844917172
48439,1547969960
57402,4632472050
89245,9568322636
9413,2510623907
55321,7140275487
17201,6542654523
42908,2160588267
67638,5258598633
9335,8097615287
1300,7483098346
60143,7008268511
14239,6274657770
14766,4995070024
69752,3102077196
72662,5243373513
90553,8343771001
26838,8927239689
45734,5820519272
34803,6245909052
21761,4726839467
8515,7829689211
74249,3790193816
76445,1440359902
31630,3343330918
27880,9721976908
62651,1001114638
62783,9291414935
36330,3976220776
96339,8281078429
58897,5874876345
45632,8830122349
71448,2143927563
97613,6632218606
79778,8633838202
48232,6676268809
37320,4957835473
43765,3913606145
59134,1388304297
20824,8305763852
56794,1818024718
98099,9684984950
19577,8358009091
42356,3689024083
30654,9474737936
39949,3194523487
34656,3758258849
764,7908887367
39741,8125374083
82690,4752051986
62354,9368307389
99502,4184642373
44901,1003335610
48,8769915711
98202,1957745698
51830,6854493271
85441,9981836939
22374,7207563584
42693,6504241061
94391,3352961666
34639,4327352204
80188,3450595516
22013,3916423533
68748,1518437647
59985,6699557253
66836,5872914850
