CodeMembre,IdG
41078,2426
91802,4277
83444,1432
39652,1496
52022,369
17243,976
88605,1798
84122,3987
56764,3956
91005,1293
30706,3905
42820,1102
17088,3786
61116,3542
78721,2725
10820,1205
93633,155
7357,3546
43916,1793
94123,4743
90990,759
36431,3236
50090,4678
18630,2851
2596,4362
83336,2639
89937,3229
90778,4390
61767,3978
70184,2933
7445,4271
6903,1742
48097,1612
23296,349
94972,2485
86015,1428
62299,1429
37319,3274
67523,1207
64881,1718
52613,3280
23658,714
12558,1071
7586,4955
36883,1617
57266,2782
89716,2898
66224,1611
21411,947
70644,384
44896,1139
16136,632
57358,3150
77955,3941
53091,2180
28362,2020
22166,3770
20672,2698
19323,3137
96257,277
6124,2518
1467,2050
25248,759
24730,2312
826,2987
27377,900
41512,4299
78367,2404
93858,2187
77864,4564
46693,52
37471,1739
85451,68
70117,3369
77625,3071
18376,2564
60489,461
93035,2243
84253,1739
2066,970
45551,2898
88299,3647
17898,1246
94715,2006
55638,3341
85560,606
18881,1970
93778,3790
60907,258
17339,375
36218,2016
75127,1384
81258,1141
97120,1928
21032,4818
13683,4471
66605,3343
64812,4644
79664,3637
4095,3162
7856,1574
72989,4899
28864,4446
53124,3788
29134,1968
31920,4379
51000,4181
67586,1614
50518,1558
55738,69
60141,214
78928,3643
89745,1363
11497,1949
71232,3250
69076,3179
92899,4800
84326,2542
71877,2955
36078,4006
91070,600
49057,2322
79555,706
61870,1138
6141,2876
96027,4067
56454,3738
34208,2145
40161,4439
25735,2028
56366,90
11583,4717
3228,2418
75484,3195
83865,2514
27851,733
66989,4135
10183,3372
51012,1922
98320,105
20883,4795
76600,1645
21225,4983
92316,4939
27247,1986
3232,369
34999,3417
68550,1595
20954,2375
25834,4269
66674,1106
27767,4133
46999,1303
45147,1002
98092,4082
48494,3735
15834,2360
97616,2466
42091,4385
53672,3825
88745,2373
89118,382
87200,4690
37517,1229
27118,3649
4491,4789
1275,3168
61480,1007
3822,545
56484,4651
83917,3621
95874,587
20082,3953
38585,1296
31730,3680
45279,2471
24663,2196
97545,516
11843,573
22234,1700
82321,4254
56369,3474
12986,1970
65836,1154
73257,4471
95725,1867
12799,4089
72324,2275
69304,1271
71800,4719
15831,3868
81237,1664
24901,3149
93226,4528
29641,3128
79219,415
68710,165
51715,2025
51979,4524
91483,231
74290,697
48172,4513
40172,3837
68556,3219
99754,4144
73607,3635
26540,1816
59416,1958
66984,183
72472,208
56755,3406
96394,2241
94490,173
64299,1279
64889,2663
63833,4422
16105,4342
50915,4186
83902,1253
67771,1147
75528,1098
40041,470
16940,3382
68344,3622
17265,274
26151,4032
74025,3510
65295,2718
87449,1271
13543,3783
24043,3802
53984,555
61405,2490
76693,4971
46612,280
33757,2711
48720,3153
96819,2832
66437,2722
763,359
19843,174
9123,3730
59723,2273
63453,2466
14812,1477
58973,4458
9118,1176
71504,4850
38945,2598
52832,2693
22343,666
5827,358
71852,1605
91859,1869
72724,1791
9074,855
13868,4537
5226,3793
65389,1398
25931,1522
64805,247
41922,2795
71144,975
821,4494
75478,4697
71552,2858
75104,1251
95683,2902
28020,1404
51897,2577
90640,2283
52463,3236
42024,2345
36948,1283
55713,147
13391,4968
26746,3501
10701,510
4400,2782
19076,3447
61653,2903
23343,1451
69303,621
58037,2277
58778,158
26472,3065
75485,3055
68105,4834
9102,4683
92218,1908
28715,4631
8141,2242
33815,3512
15497,4674
97734,4566
99206,493
43345,3537
79017,2772
52982,3375
45436,1667
27278,890
68330,2580
4177,2278
69503,4221
10162,2863
84432,2727
82977,4031
54523,4027
66372,3405
67675,2156
62420,822
49699,3134
96020,4417
80381,3729
89434,2326
48296,1678
84506,4250
46703,195
71529,226
83891,304
72739,545
94500,2846
60834,4156
83428,2500
57303,2623
25271,1006
33455,1671
88222,2475
72106,4215
64201,3429
76203,2222
12185,4670
36880,1569
63051,1415
34844,4543
913,2633
63444,2501
82845,1124
71297,985
96309,3862
47050,2314
23733,672
76774,2737
440,292
17503,2268
33107,2185
36341,3501
50987,1312
28536,1109
98165,1903
900,81
8161,513
32826,2839
21384,1755
83437,2731
40765,3675
19328,1156
56842,1538
81056,1368
39641,4540
89283,4823
10960,2988
99279,1118
40864,1812
17950,3076
38776,4136
20886,4190
